Name #1; dE(+N2) #2; dE(AE) #3; dE(ST) #4; dG(+N2) #5; dG(AE) #6; dG(ST) #7; LUMO(min) #8; LUMO(S) #9; HOMO(S) #10; LUMO(T) #11; HOMO(T) #12; LUMO(D) #13; HOMO(D) #14; State #15; C-N(S) #16; N-N(S) #17; C-N(T) #18; N-N(T) #19; C-N(D) #20; N-N(D) #21; C-N(min) #22; N-N(min) #23; AE(S) #24; AE(T) #25; AE(S) N2 #26; AE(T) N2 #27; C-N-N(S) #28; C-N-N(T) #29; RSD(S) #30; RSD(T) #31; LUMO_N2(S) #32; HOMO_N2(S) #33; LUMO_N2(T) #34; HOMO_N2(T) #35; LUMO_N2(D) #36; HOMO_N2(D) #37;  dE(+N2) (D) #38;
"CH3"; -199.59000; -954.08000; 339.69000; -142.34000; -959.69000; 319.18000; -0.54428; -0.48659; -0.78329; -0.54428; -0.63229; -0.08060; -0.23724; 1; 1.45580; 1.10290; 1.39320; 1.23210; 1.50880; 1.17690; 1.39320; 1.23210; -959.69000; -1278.87000; -718.93000; -1172.72000; 180.00; 126.57; 0.0000; 0.0000; -0.32639; -0.68486; -0.54132; -0.54061; -0.07365; -0.20722; 43.74000;
"C2H5"; -53.88000; -788.09000; 353.31000; 3.44000; -796.17000; 322.99000; -0.49672; -0.32403; -0.65013; -0.49672; -0.48375; -0.06055; -0.20674; 1; 1.48930; 1.10320; 1.41610; 1.20980; 1.52580; 1.17600; 1.41610; 1.20980; -796.17000; -1119.17000; -692.89000; -1101.51000; 178.04; 123.73; 0.0000; 0.0000; -0.30953; -0.59087; -0.50061; -0.48123; -0.07012; -0.20197; 48.75000;
"1-CH3-C2H4"; 9.98000; -709.39000; 369.06000; 70.31000; -714.86000; 344.18000; -0.46664; -0.34796; -0.60511; -0.46664; -0.46545; -0.04846; -0.18678; 1; 1.54420; 1.10330; 1.43190; 1.19490; 1.55220; 1.17370; 1.43190; 1.19490; -714.86000; -1059.04000; -669.66000; -1054.03000; 178.28; 122.45; 0.0000; 0.0000; -0.29321; -0.57373; -0.44350; -0.43443; -0.06562; -0.19585; 55.76000;
"1,1-(CH3)2-C2H3"; -7.79000; -650.04000; 380.03000; 19.95000; -648.74000; 366.22000; -0.42803; -0.32156; -0.58632; -0.42803; -0.43523; -0.04224; -0.17540; 1; 0.00000; 0.00000; 1.46230; 1.18810; 1.58960; 1.17020; 1.46230; 1.18810; -648.74000; -1014.97000; -549.08000; -1017.14000; 0.00; 121.24; 0.0000; 0.0000; -0.31408; -0.56860; -0.41586; -0.41460; -0.06567; -0.19185; 61.85000;
"Pyridine-2"; -53.71000; -756.19000; 171.29000; 1.37000; -757.17000; 161.87000; -0.43075; -0.34369; -0.51095; -0.43075; -0.45914; -0.08463; -0.22559; 1; 1.42490; 1.10900; 1.40890; 1.17080; 1.47480; 1.18180; 1.40890; 1.17080; -757.17000; -919.04000; -685.53000; -922.30000; 178.88; 136.97; 0.0005; 0.0012; -0.31216; -0.48602; -0.41125; -0.40512; -0.08921; -0.21186; 25.67000;
"Pyridine-3"; -116.91000; -807.61000; 102.55000; -58.51000; -805.95000; 98.03000; -0.41646; -0.34151; -0.51260; -0.41646; -0.48805; -0.10940; -0.24966; 1; 1.37880; 1.11450; 1.43570; 1.18540; 1.45700; 1.18450; 1.43570; 1.18540; -805.95000; -903.99000; -691.43000; -912.16000; 177.54; 124.21; 0.0011; 0.2607; -0.31426; -0.46339; -0.41252; -0.39814; -0.09132; -0.21574; 6.49000;
"Pyridine-4"; -108.65000; -823.98000; 86.19000; -45.36000; -817.41000; 86.91000; -0.41122; -0.36806; -0.50192; -0.41122; -0.47314; -0.11046; -0.24737; 1; 1.39610; 1.11080; 1.34070; 1.14060; 1.46420; 1.18290; 1.34070; 1.14060; -817.41000; -904.32000; -710.58000; -896.87000; 179.99; 179.97; 0.0005; 0.0002; -0.32488; -0.45413; -0.38500; -0.37290; -0.09984; -0.22377; 11.70000;
"Pyrazine-2"; -39.04000; -782.24000; 174.54000; 14.35000; -783.30000; 166.91000; -0.43572; -0.35591; -0.52725; -0.43572; -0.47325; -0.10231; -0.23281; 1; 1.41770; 1.10980; 1.34870; 1.14460; 1.46550; 1.18410; 1.34870; 1.14460; -783.30000; -950.21000; -717.36000; -920.24000; 177.95; 165.52; 0.0007; 0.2523; -0.32856; -0.47153; -0.40291; -0.39459; -0.10785; -0.22189; 33.64000;
"Pyrimidine-2"; -54.97000; -778.73000; 134.83000; -1.77000; -780.86000; 130.87000; -0.41372; -0.34204; -0.54531; -0.41372; -0.51367; -0.08831; -0.24100; 1; 1.47500; 1.10500; 1.33100; 1.14500; 1.46940; 1.18070; 1.33100; 1.14500; -780.86000; -911.73000; -703.20000; -918.54000; 179.98; 179.93; 0.0003; 0.0019; -0.32252; -0.48990; -0.40242; -0.39759; -0.08604; -0.21679; 27.25000;
"Pyrimidine-4"; -26.71000; -788.46000; 177.22000; 27.02000; -788.72000; 172.47000; -0.43495; -0.36010; -0.53160; -0.43495; -0.47368; -0.10234; -0.23461; 1; 1.44900; 1.10640; 1.34360; 1.13930; 1.47050; 1.18230; 1.34360; 1.13930; -788.72000; -961.19000; -730.82000; -911.94000; 178.31; 179.27; 0.0026; 0.0000; -0.33500; -0.46870; -0.39663; -0.39422; -0.10474; -0.22624; 37.00000;
"Pyrimidine-5"; -141.60000; -868.71000; 34.72000; -79.98000; -862.32000; 37.11000; -0.41331; -0.38139; -0.50398; -0.41331; -0.50392; -0.12698; -0.26936; 1; 1.37450; 1.11480; 1.33220; 1.14420; 1.45250; 1.18510; 1.33220; 1.14420; -862.32000; -899.43000; -723.67000; -919.00000; 180.00; 179.95; 0.0004; 0.0002; -0.32961; -0.46629; -0.39460; -0.38075; -0.10539; -0.22887; 9.70000;
"1,2,3-Triazine-4"; 179.45000; -629.02000; 304.54000; 238.99000; -623.69000; 311.86000; -0.42292; -0.36502; -0.53592; -0.42292; -0.52125; -0.12558; -0.24952; 1; 1.43190; 1.10730; 1.33710; 1.13750; 1.46650; 1.18190; 1.33710; 1.13750; -623.69000; -935.55000; -772.13000; -886.96000; 175.61; 179.63; 0.0000; 0.0000; -0.35447; -0.47157; -0.38486; -0.41928; -0.12353; -0.24399; 41.00000;
"1,2,3-Triazine-5"; -55.78000; -864.29000; 99.74000; -3.28000; -864.07000; 91.46000; -0.43912; -0.39315; -0.54497; -0.43912; -0.51659; -0.14599; -0.25821; 1; 1.38830; 1.11250; 1.33710; 1.13520; 1.32860; 1.15350; 1.33710; 1.13520; -864.07000; -955.53000; -761.43000; -867.86000; 180.00; 179.98; 0.0029; 0.0001; -0.36070; -0.47237; -0.38216; -0.41665; -0.12779; -0.21474; 53.58000;
"1,2,4-Triazine-3"; -74.18000; -842.93000; 58.25000; -19.36000; -843.39000; 59.07000; -0.41417; -0.36874; -0.54834; -0.41417; -0.51822; -0.11224; -0.25995; 1; 1.45840; 1.10510; 1.33320; 1.14030; 1.46100; 1.18130; 1.33320; 1.14030; -843.39000; -902.46000; -745.64000; -875.60000; 178.29; 179.94; 0.0001; 0.0009; -0.34227; -0.47083; -0.38759; -0.41313; -0.11308; -0.22983; 28.76000;
"1,2,4-Triazine-5"; 15.25000; -802.17000; 151.86000; 64.31000; -804.47000; 147.82000; -0.44098; -0.36926; -0.52925; -0.44098; -0.48101; -0.12103; -0.23701; 1; 1.44610; 1.10750; 1.34490; 1.13530; 1.46690; 1.18260; 1.34490; 1.13530; -804.47000; -952.29000; -772.26000; -864.31000; 175.93; 179.62; 0.0003; 0.0012; -0.35538; -0.45760; -0.38259; -0.41744; -0.12689; -0.23952; 48.34000;
"1,2,4-Triazine-6"; -62.76000; -850.63000; 66.21000; -9.77000; -851.87000; 64.13000; -0.42071; -0.38984; -0.54305; -0.42071; -0.51324; -0.12699; -0.25465; 1; 1.40360; 1.11020; 1.33180; 1.13960; 1.46230; 1.18350; 1.33180; 1.13960; -851.87000; -916.00000; -761.06000; -882.63000; 179.71; 179.15; 0.0015; 0.0016; -0.34820; -0.46497; -0.38758; -0.41263; -0.11824; -0.23769; 33.91000;
"1,3,5-Triazine-2"; -35.85000; -819.21000; 160.62000; 15.91000; -820.19000; 156.47000; -0.44004; -0.36509; -0.56220; -0.44004; -0.51380; -0.10768; -0.24967; 1; 1.51400; 1.10310; 1.35170; 1.13430; 1.45590; 1.17800; 1.35170; 1.13430; -820.19000; -976.66000; -758.71000; -958.97000; 179.99; 179.96; 0.0001; 0.0003; -0.34207; -0.49305; -0.41767; -0.41356; -0.10057; -0.23198; 33.80000;
"N-O-Pyridine-2"; -124.11000; -809.49000; -91.84000; -65.02000; -808.69000; -89.42000; -0.38716; -0.38716; -0.47647; -0.38544; -0.50850; -0.13371; -0.23480; 0; 1.36300; 1.11600; 1.33240; 1.14490; 1.42330; 1.19420; 1.36300; 1.11600; -898.11000; -808.69000; -693.31000; -829.41000; 178.51; 178.77; 0.4951; 0.0012; -0.31780; -0.43980; -0.37499; -0.38135; -0.09821; -0.20575; -1.90000;
"N-O-Pyridine-3"; -92.34000; -817.79000; -49.84000; -34.08000; -816.32000; -47.15000; -0.38881; -0.37779; -0.46384; -0.38881; -0.48939; -0.12712; -0.23675; 1; 1.38770; 1.11260; 1.33990; 1.14410; 1.46130; 1.18320; 1.33990; 1.14410; -863.47000; -816.32000; -720.51000; -836.16000; 179.97; 178.04; 0.2439; 0.0009; -0.32255; -0.41898; -0.36988; -0.37033; -0.10370; -0.22970; 11.69000;
"N-O-Pyridine-4"; -123.27000; -799.60000; -78.67000; -63.77000; -798.52000; -75.51000; -0.38204; -0.38204; -0.45745; -0.38164; -0.49120; -0.12372; -0.23106; 0; 1.36350; 1.11930; 1.34140; 1.14270; 1.32810; 1.15550; 1.36350; 1.11930; -874.03000; -798.52000; -654.89000; -786.96000; 179.99; 179.95; 0.4161; 0.0000; -0.31169; -0.43915; -0.37037; -0.38084; -0.09669; -0.17940; 32.09000;
"Ph"; -146.51000; -801.48000; 79.70000; -82.64000; -796.11000; 79.37000; -0.41094; -0.35345; -0.48984; -0.41094; -0.48444; -0.09348; -0.24934; 1; 1.38320; 1.11380; 1.40930; 1.19140; 1.46020; 1.18380; 1.40930; 1.19140; -796.11000; -875.48000; -661.87000; -890.54000; 179.99; 126.10; 0.0000; 0.0000; -0.30012; -0.46336; -0.40610; -0.41147; -0.08043; -0.20801; 0.64000;
"4-NO2-Ph"; -158.28000; -874.23000; 68.20000; -95.37000; -867.56000; 63.99000; -0.42268; -0.37581; -0.47245; -0.42268; -0.48992; -0.12122; -0.28202; 1; 1.38870; 1.11260; 1.36510; 1.12200; 1.34090; 1.15070; 1.36510; 1.12200; -867.56000; -931.54000; -690.66000; -868.76000; 180.00; 180.00; 0.0002; 0.0037; -0.32409; -0.45681; -0.36356; -0.39300; -0.12707; -0.19710; 33.20000;
"4-CH3O-Ph"; -165.01000; -773.62000; -15.95000; -104.32000; -772.26000; -11.25000; -0.36122; -0.34161; -0.42998; -0.36122; -0.45127; -0.09099; -0.22829; 1; 1.36360; 1.11930; 1.43550; 1.19120; 1.45060; 1.18560; 1.43550; 1.19120; -783.50000; -772.26000; -624.53000; -801.47000; 179.75; 122.67; 0.2471; 0.0000; -0.27456; -0.42206; -0.36843; -0.38040; -0.06917; -0.20076; -8.32000;
"Pyrrole-2"; -164.23000; -783.45000; -59.24000; -103.72000; -783.74000; -58.71000; -0.37792; -0.37606; -0.48955; -0.37792; -0.49689; -0.12007; -0.21892; 1; 1.33690; 1.12430; 1.39550; 1.20210; 1.40830; 1.19350; 1.39550; 1.20210; -842.45000; -783.74000; -662.06000; -818.79000; 178.35; 121.70; 0.5921; 0.0002; -0.29102; -0.45579; -0.38790; -0.42545; -0.06962; -0.20897; -36.30000;
