0 7.0000  -2480.7990 -6513337.7320 291.2027
1 6.9900  -2480.7990 -6513337.7225 291.2122
2 6.9800  -2480.7990 -6513337.7111 291.2236
3 6.9699  -2480.7990 -6513337.6989 291.2358
4 6.9599  -2480.7990 -6513337.6867 291.2481
5 6.9499  -2480.7990 -6513337.6744 291.2603
6 6.9399  -2480.7990 -6513337.6623 291.2724
7 6.9299  -2480.7990 -6513337.6650 291.2697
8 6.9199  -2480.7990 -6513337.6549 291.2798
9 6.9098  -2480.7990 -6513337.6440 291.2907
10 6.8998  -2480.7989 -6513337.6315 291.3032
11 6.8898  -2480.7989 -6513337.6184 291.3163
12 6.8798  -2480.7989 -6513337.6051 291.3296
13 6.8698  -2480.7989 -6513337.5918 291.3429
14 6.8598  -2480.7989 -6513337.5910 291.3437
15 6.8497  -2480.7989 -6513337.5798 291.3549
16 6.8397  -2480.7989 -6513337.5681 291.3666
17 6.8297  -2480.7989 -6513337.5547 291.3800
18 6.8197  -2480.7989 -6513337.5408 291.3940
19 6.8097  -2480.7989 -6513337.5266 291.4081
20 6.7997  -2480.7989 -6513337.5311 291.4036
21 6.7896  -2480.7989 -6513337.5198 291.4149
22 6.7796  -2480.7989 -6513337.5082 291.4265
23 6.7696  -2480.7989 -6513337.4951 291.4396
24 6.7596  -2480.7989 -6513337.4814 291.4533
25 6.7496  -2480.7989 -6513337.4675 291.4672
26 6.7396  -2480.7989 -6513337.4536 291.4811
27 6.7295  -2480.7989 -6513337.4506 291.4841
28 6.7195  -2480.7989 -6513337.4385 291.4962
29 6.7095  -2480.7989 -6513337.4260 291.5087
30 6.6995  -2480.7989 -6513337.4122 291.5226
31 6.6895  -2480.7989 -6513337.3977 291.5370
32 6.6795  -2480.7989 -6513337.3910 291.5437
33 6.6694  -2480.7988 -6513337.3790 291.5557
34 6.6594  -2480.7988 -6513337.3667 291.5680
35 6.6494  -2480.7988 -6513337.3530 291.5817
36 6.6394  -2480.7989 -6513337.3975 291.5372
37 6.6294  -2480.7992 -6513338.2678 290.6669
38 6.6194  -2480.7992 -6513338.2822 290.6525
39 6.6093  -2480.7992 -6513338.2950 290.6397
