0 7.0000  -1358.8511 -3567663.4644 235.9120
1 6.9900  -1358.8511 -3567663.5079 235.8685
2 6.9800  -1358.8511 -3567663.5524 235.8240
3 6.9699  -1358.8511 -3567663.5967 235.7798
4 6.9599  -1358.8511 -3567663.6413 235.7351
5 6.9499  -1358.8511 -3567663.6881 235.6884
6 6.9399  -1358.8512 -3567663.7342 235.6423
7 6.9299  -1358.8512 -3567663.7806 235.5959
8 6.9199  -1358.8512 -3567663.8299 235.5465
9 6.9098  -1358.8512 -3567663.8781 235.4984
10 6.8998  -1358.8512 -3567663.9267 235.4498
11 6.8898  -1358.8513 -3567663.9789 235.3976
12 6.8798  -1358.8513 -3567664.0296 235.3469
13 6.8698  -1358.8513 -3567664.0807 235.2957
14 6.8598  -1358.8513 -3567664.1566 235.2198
15 6.8497  -1358.8513 -3567664.2135 235.1629
16 6.8397  -1358.8514 -3567664.2710 235.1055
17 6.8297  -1358.8514 -3567664.3313 235.0452
18 6.8197  -1358.8514 -3567664.3908 234.9857
19 6.8097  -1358.8514 -3567664.4509 234.9256
20 6.7997  -1358.8515 -3567664.5144 234.8621
21 6.7896  -1358.8515 -3567664.5771 234.7994
22 6.7796  -1358.8515 -3567664.6405 234.7360
23 6.7696  -1358.8516 -3567664.7648 234.6117
24 6.7596  -1358.8516 -3567664.8962 234.4803
25 6.7496  -1358.8516 -3567664.9804 234.3961
26 6.7396  -1358.8517 -3567665.0668 234.3096
27 6.7295  -1358.8517 -3567665.1566 234.2198
28 6.7195  -1358.8517 -3567665.2535 234.1229
29 6.7095  -1358.8518 -3567665.3514 234.0250
30 6.6995  -1358.8518 -3567665.4531 233.9234
31 6.6895  -1358.8519 -3567665.5641 233.8123
32 6.6795  -1358.8519 -3567665.6752 233.7012
33 6.6694  -1358.8519 -3567665.7882 233.5882
34 6.6594  -1358.8520 -3567665.9046 233.4719
35 6.6494  -1358.8520 -3567666.0243 233.3522
36 6.6394  -1358.8521 -3567666.1479 233.2285
37 6.6294  -1358.8521 -3567666.2741 233.1023
38 6.6194  -1358.8522 -3567666.4049 232.9715
39 6.6093  -1358.8522 -3567666.5382 232.8383
40 6.5993  -1358.8523 -3567666.7308 232.6457
41 6.5893  -1358.8524 -3567666.8844 232.4920
42 6.5793  -1358.8524 -3567667.0421 232.3343
43 6.5693  -1358.8529 -3567668.3039 231.0726
44 6.5593  -1358.8530 -3567668.4848 230.8916
45 6.5492  -1358.8530 -3567668.6672 230.7093
46 6.5392  -1358.8531 -3567668.8512 230.5253
47 6.5292  -1358.8532 -3567669.0368 230.3396
48 6.5192  -1358.8533 -3567669.2241 230.1524
49 6.5092  -1358.8533 -3567669.4129 229.9636
50 6.4992  -1358.8534 -3567669.6032 229.7732
51 6.4891  -1358.8535 -3567669.7952 229.5813
52 6.4791  -1358.8535 -3567669.9886 229.3878
53 6.4691  -1358.8536 -3567670.1836 229.1929
54 6.4591  -1358.8537 -3567670.3801 228.9964
55 6.4491  -1358.8538 -3567670.5780 228.7984
56 6.4391  -1358.8538 -3567670.7775 228.5989
57 6.4290  -1358.8539 -3567670.9785 228.3979
58 6.4190  -1358.8540 -3567671.1810 228.1955
59 6.4090  -1358.8541 -3567671.3849 227.9916
60 6.3990  -1358.8542 -3567671.5902 227.7863
61 6.3890  -1358.8542 -3567671.7969 227.5795
62 6.3790  -1358.8543 -3567672.0051 227.3713
63 6.3689  -1358.8544 -3567672.2147 227.1618
64 6.3589  -1358.8545 -3567672.4256 226.9508
65 6.3489  -1358.8546 -3567672.6379 226.7385
66 6.3389  -1358.8546 -3567672.8515 226.5249
67 6.3289  -1358.8547 -3567673.0665 226.3099
68 6.3189  -1358.8548 -3567673.2828 226.0936
69 6.3088  -1358.8549 -3567673.5004 225.8760
70 6.2988  -1358.8550 -3567673.7193 225.6572
71 6.2888  -1358.8551 -3567673.9685 225.4080
72 6.2788  -1358.8551 -3567674.1903 225.1862
73 6.2688  -1358.8552 -3567674.4133 224.9631
74 6.2588  -1358.8553 -3567674.6454 224.7310
75 6.2487  -1358.8554 -3567674.8720 224.5044
76 6.2387  -1358.8555 -3567675.0987 224.2778
77 6.2287  -1358.8556 -3567675.3254 224.0511
78 6.2187  -1358.8557 -3567675.5547 223.8217
79 6.2087  -1358.8558 -3567675.7839 223.5926
80 6.1987  -1358.8558 -3567676.0157 223.3608
81 6.1886  -1358.8559 -3567676.2486 223.1279
82 6.1786  -1358.8560 -3567676.4825 222.8939
83 6.1686  -1358.8561 -3567676.7160 222.6605
84 6.1586  -1358.8562 -3567676.9524 222.4241
85 6.1486  -1358.8563 -3567677.1879 222.1886
86 6.1386  -1358.8564 -3567677.4263 221.9501
87 6.1285  -1358.8565 -3567677.6662 221.7102
88 6.1185  -1358.8566 -3567677.9051 221.4713
89 6.1085  -1358.8567 -3567678.1446 221.2319
90 6.0985  -1358.8567 -3567678.3853 220.9911
91 6.0885  -1358.8568 -3567678.6272 220.7493
92 6.0785  -1358.8569 -3567678.8785 220.4979
93 6.0684  -1358.8570 -3567679.1237 220.2528
94 6.0584  -1358.8571 -3567679.3692 220.0073
95 6.0484  -1358.8572 -3567679.6158 219.7606
96 6.0384  -1358.8573 -3567679.8637 219.5127
97 6.0284  -1358.8574 -3567680.1127 219.2637
98 6.0184  -1358.8575 -3567680.3607 219.0158
99 6.0083  -1358.8576 -3567680.6108 218.7657
100 5.9983  -1358.8577 -3567680.8615 218.5150
101 5.9883  -1358.8578 -3567681.1138 218.2626
102 5.9783  -1358.8579 -3567681.3649 218.0115
103 5.9683  -1358.8580 -3567681.6164 217.7600
104 5.9583  -1358.8581 -3567681.8782 217.4983
105 5.9482  -1358.8582 -3567682.1340 217.2424
106 5.9382  -1358.8583 -3567682.3877 216.9888
107 5.9282  -1358.8584 -3567682.6437 216.7327
108 5.9182  -1358.8585 -3567682.8988 216.4777
109 5.9082  -1358.8586 -3567683.1541 216.2223
110 5.8982  -1358.8587 -3567683.4104 215.9661
111 5.8881  -1358.8588 -3567683.6674 215.7091
112 5.8781  -1358.8589 -3567683.9251 215.4514
113 5.8681  -1358.8590 -3567684.1833 215.1932
114 5.8581  -1358.8591 -3567684.5054 214.8711
115 5.8481  -1358.8592 -3567684.7656 214.6108
116 5.8381  -1358.8593 -3567685.0253 214.3512
117 5.8280  -1358.8594 -3567685.2865 214.0900
118 5.8180  -1358.8595 -3567685.5477 213.8287
119 5.8080  -1358.8596 -3567685.8093 213.5672
120 5.7980  -1358.8597 -3567686.0713 213.3051
121 5.7880  -1358.8598 -3567686.3333 213.0431
122 5.7780  -1358.8599 -3567686.5956 212.7809
123 5.7679  -1358.8600 -3567686.8584 212.5181
124 5.7579  -1358.8601 -3567687.1211 212.2553
125 5.7479  -1358.8602 -3567687.3830 211.9935
126 5.7379  -1358.8603 -3567687.6489 211.7276
127 5.7279  -1358.8604 -3567687.9119 211.4646
128 5.7179  -1358.8605 -3567688.1739 211.2025
129 5.7078  -1358.8606 -3567688.4360 210.9404
130 5.6978  -1358.8607 -3567688.7000 210.6765
131 5.6878  -1358.8608 -3567688.9638 210.4127
132 5.6778  -1358.8609 -3567689.2259 210.1505
133 5.6678  -1358.8610 -3567689.4928 209.8837
134 5.6578  -1358.8611 -3567689.7555 209.6210
135 5.6477  -1358.8612 -3567690.0170 209.3594
136 5.6377  -1358.8613 -3567690.2800 209.0964
137 5.6277  -1358.8614 -3567690.5416 208.8349
138 5.6177  -1358.8615 -3567690.8044 208.5721
139 5.6077  -1358.8616 -3567691.0671 208.3093
140 5.5977  -1358.8617 -3567691.3295 208.0469
141 5.5876  -1358.8618 -3567691.5912 207.7853
142 5.5776  -1358.8619 -3567691.8529 207.5235
143 5.5676  -1358.8620 -3567692.1139 207.2625
144 5.5576  -1358.8621 -3567692.3747 207.0017
145 5.5476  -1358.8622 -3567692.6348 206.7417
146 5.5376  -1358.8623 -3567692.8931 206.4833
147 5.5275  -1358.8624 -3567693.1525 206.2239
148 5.5175  -1358.8625 -3567693.4112 205.9652
149 5.5075  -1358.8626 -3567693.6692 205.7072
150 5.4975  -1358.8627 -3567693.9270 205.4495
151 5.4875  -1358.8628 -3567694.1835 205.1929
152 5.4775  -1358.8629 -3567694.4399 204.9366
153 5.4674  -1358.8630 -3567694.6949 204.6816
154 5.4574  -1358.8631 -3567694.9491 204.4273
155 5.4474  -1358.8632 -3567695.2024 204.1740
156 5.4374  -1358.8632 -3567695.4551 203.9213
157 5.4274  -1358.8633 -3567695.7074 203.6690
158 5.4174  -1358.8634 -3567695.9583 203.4182
159 5.4073  -1358.8635 -3567696.2080 203.1685
160 5.3973  -1358.8636 -3567696.4573 202.9191
161 5.3873  -1358.8637 -3567696.7050 202.6714
162 5.3773  -1358.8638 -3567696.9516 202.4249
163 5.3673  -1358.8639 -3567697.1959 202.1805
164 5.3573  -1358.8640 -3567697.4428 201.9337
165 5.3472  -1358.8641 -3567697.6857 201.6907
166 5.3372  -1358.8642 -3567697.9274 201.4491
167 5.3272  -1358.8643 -3567698.1684 201.2080
168 5.3172  -1358.8644 -3567698.4079 200.9686
169 5.3072  -1358.8645 -3567698.6446 200.7318
170 5.2972  -1358.8646 -3567698.8814 200.4951
171 5.2871  -1358.8646 -3567699.1169 200.2596
172 5.2771  -1358.8647 -3567699.3508 200.0257
173 5.2671  -1358.8648 -3567699.5830 199.7934
174 5.2571  -1358.8649 -3567699.8136 199.5628
175 5.2471  -1358.8650 -3567700.0417 199.3348
176 5.2371  -1358.8651 -3567700.2697 199.1068
177 5.2270  -1358.8652 -3567700.4941 198.8824
178 5.2170  -1358.8653 -3567700.7189 198.6575
179 5.2070  -1358.8653 -3567700.9438 198.4327
180 5.1970  -1358.8654 -3567701.1648 198.2117
181 5.1870  -1358.8655 -3567701.3825 197.9939
182 5.1770  -1358.8656 -3567701.6002 197.7762
183 5.1669  -1358.8657 -3567701.8144 197.5621
184 5.1569  -1358.8658 -3567702.0286 197.3479
185 5.1469  -1358.8658 -3567702.2425 197.1339
186 5.1369  -1358.8659 -3567702.4510 196.9254
187 5.1269  -1358.8660 -3567702.6595 196.7169
188 5.1169  -1358.8661 -3567702.8643 196.5121
189 5.1068  -1358.8661 -3567703.0691 196.3074
190 5.0968  -1358.8662 -3567703.2705 196.1060
191 5.0868  -1358.8663 -3567703.4693 195.9071
192 5.0768  -1358.8664 -3567703.6687 195.7078
193 5.0668  -1358.8664 -3567703.8638 195.5126
194 5.0568  -1358.8665 -3567704.0588 195.3176
195 5.0467  -1358.8666 -3567704.2501 195.1263
196 5.0367  -1358.8667 -3567704.4410 194.9354
197 5.0267  -1358.8667 -3567704.6284 194.7481
198 5.0167  -1358.8668 -3567704.8147 194.5617
199 5.0067  -1358.8669 -3567705.0002 194.3763
200 4.9967  -1358.8670 -3567705.1816 194.1948
201 4.9866  -1358.8670 -3567705.3622 194.0142
202 4.9766  -1358.8671 -3567705.5393 193.8371
203 4.9666  -1358.8672 -3567705.7153 193.6611
