0 7.0000  -397.1516 -1042721.5683 398.0107
1 6.9900  -397.1543 -1042728.4873 391.0918
2 6.9800  -397.1543 -1042728.6646 390.9144
3 6.9699  -397.1544 -1042728.8412 390.7378
4 6.9599  -397.1545 -1042729.0178 390.5613
5 6.9499  -397.1545 -1042729.1943 390.3848
6 6.9399  -397.1546 -1042729.3708 390.2082
7 6.9299  -397.1547 -1042729.5474 390.0316
8 6.9199  -397.1547 -1042729.7241 389.8549
9 6.9098  -397.1548 -1042729.9009 389.6781
10 6.8998  -397.1549 -1042730.0778 389.5012
11 6.8898  -397.1549 -1042730.2548 389.3243
12 6.8798  -397.1550 -1042730.4318 389.1472
13 6.8698  -397.1551 -1042730.6088 388.9702
14 6.8598  -397.1551 -1042730.7859 388.7932
15 6.8497  -397.1552 -1042730.9629 388.6161
16 6.8397  -397.1553 -1042731.1587 388.4203
17 6.8297  -397.1553 -1042731.3360 388.2430
18 6.8197  -397.1554 -1042731.5122 388.0669
19 6.8097  -397.1555 -1042731.6877 387.8913
20 6.7997  -397.1555 -1042731.8630 387.7160
21 6.7896  -397.1556 -1042732.0382 387.5409
22 6.7796  -397.1557 -1042732.2132 387.3659
23 6.7696  -397.1557 -1042732.3881 387.1910
24 6.7596  -397.1558 -1042732.5629 387.0161
25 6.7496  -397.1559 -1042732.7376 386.8414
26 6.7396  -397.1559 -1042732.9332 386.6458
27 6.7295  -397.1560 -1042733.1091 386.4700
28 6.7195  -397.1561 -1042733.2833 386.2957
29 6.7095  -397.1561 -1042733.4565 386.1225
30 6.6995  -397.1562 -1042733.6292 385.9498
31 6.6895  -397.1563 -1042733.8016 385.7774
32 6.6795  -397.1563 -1042733.9737 385.6053
33 6.6694  -397.1564 -1042734.1456 385.4335
34 6.6594  -397.1565 -1042734.3173 385.2617
35 6.6494  -397.1565 -1042734.5127 385.0664
36 6.6394  -397.1566 -1042734.6864 384.8926
37 6.6294  -397.1567 -1042734.8578 384.7212
38 6.6194  -397.1567 -1042735.0279 384.5511
39 6.6093  -397.1568 -1042735.1972 384.3818
40 6.5993  -397.1569 -1042735.3659 384.2131
41 6.5893  -397.1569 -1042735.5344 384.0447
42 6.5793  -397.1570 -1042735.7025 383.8765
43 6.5693  -397.1571 -1042735.9157 383.6633
44 6.5593  -397.1571 -1042736.0890 383.4900
45 6.5492  -397.1572 -1042736.2598 383.3193
46 6.5392  -397.1573 -1042736.4294 383.1496
47 6.5292  -397.1573 -1042736.5981 382.9809
48 6.5192  -397.1574 -1042736.7659 382.8131
49 6.5092  -397.1575 -1042736.9459 382.6332
50 6.4992  -397.1575 -1042737.1139 382.4651
51 6.4891  -397.1576 -1042737.2786 382.3005
52 6.4791  -397.1577 -1042737.4423 382.1367
53 6.4691  -397.1577 -1042737.6056 381.9734
54 6.4591  -397.1579 -1042738.0081 381.5709
55 6.4491  -397.1579 -1042738.1825 381.3965
56 6.4391  -397.1580 -1042738.3568 381.2223
57 6.4290  -397.1581 -1042738.5280 381.0510
58 6.4190  -397.1581 -1042738.7022 380.8769
59 6.4090  -397.1582 -1042738.8721 380.7070
60 6.3990  -397.1583 -1042739.0511 380.5279
61 6.3890  -397.1583 -1042739.2210 380.3580
62 6.3790  -397.1584 -1042739.3883 380.1908
63 6.3689  -397.1585 -1042739.5587 380.0204
64 6.3589  -397.1585 -1042739.7247 379.8544
65 6.3489  -397.1586 -1042739.9012 379.6778
66 6.3389  -397.1587 -1042740.0676 379.5115
67 6.3289  -397.1587 -1042740.2308 379.3483
68 6.3189  -397.1588 -1042740.4030 379.1760
69 6.3088  -397.1589 -1042740.5668 379.0122
70 6.2988  -397.1589 -1042740.7274 378.8516
71 6.2888  -397.1590 -1042740.8975 378.6815
72 6.2788  -397.1590 -1042741.0590 378.5201
73 6.2688  -397.1591 -1042741.2169 378.3621
74 6.2588  -397.1592 -1042741.3844 378.1947
75 6.2487  -397.1592 -1042741.5429 378.0362
76 6.2387  -397.1593 -1042741.6979 377.8811
77 6.2287  -397.1593 -1042741.8630 377.7161
78 6.2187  -397.1594 -1042742.0187 377.5603
79 6.2087  -397.1595 -1042742.1707 377.4084
80 6.1987  -397.1595 -1042742.3328 377.2462
81 6.1886  -397.1596 -1042742.4854 377.0937
82 6.1786  -397.1596 -1042742.6340 376.9450
83 6.1686  -397.1597 -1042742.7931 376.7860
84 6.1586  -397.1598 -1042742.9425 376.6365
85 6.1486  -397.1598 -1042743.0875 376.4915
86 6.1386  -397.1599 -1042743.2430 376.3360
87 6.1285  -397.1599 -1042743.3885 376.1905
88 6.1185  -397.1600 -1042743.5296 376.0494
89 6.1085  -397.1600 -1042743.6813 375.8977
90 6.0985  -397.1601 -1042743.8229 375.7562
91 6.0885  -397.1601 -1042743.9596 375.6194
92 6.0785  -397.1602 -1042744.1075 375.4716
93 6.0684  -397.1603 -1042744.2446 375.3344
94 6.0584  -397.1603 -1042744.3768 375.2022
95 6.0484  -397.1604 -1042744.5278 375.0512
96 6.0384  -397.1604 -1042744.6637 374.9153
97 6.0284  -397.1605 -1042744.7923 374.7867
98 6.0184  -397.1605 -1042744.9180 374.6610
99 6.0083  -397.1606 -1042745.0526 374.5264
100 5.9983  -397.1606 -1042745.1767 374.4024
101 5.9883  -397.1607 -1042745.2961 374.2830
102 5.9783  -397.1607 -1042745.4251 374.1539
103 5.9683  -397.1607 -1042745.5432 374.0358
104 5.9583  -397.1608 -1042745.6562 373.9228
105 5.9482  -397.1608 -1042745.7790 373.8000
106 5.9382  -397.1609 -1042745.8904 373.6886
107 5.9282  -397.1609 -1042745.9965 373.5825
108 5.9182  -397.1610 -1042746.1121 373.4670
109 5.9082  -397.1610 -1042746.2162 373.3628
110 5.8982  -397.1610 -1042746.3148 373.2643
111 5.8881  -397.1611 -1042746.4133 373.1657
112 5.8781  -397.1611 -1042746.5087 373.0703
113 5.8681  -397.1612 -1042746.6010 372.9781
114 5.8581  -397.1612 -1042746.6893 372.8897
115 5.8481  -397.1612 -1042746.7746 372.8045
116 5.8381  -397.1612 -1042746.8567 372.7223
117 5.8280  -397.1613 -1042746.9356 372.6434
118 5.8180  -397.1613 -1042747.0112 372.5678
119 5.8080  -397.1613 -1042747.0835 372.4956
120 5.7980  -397.1614 -1042747.1523 372.4268
121 5.7880  -397.1614 -1042747.2175 372.3615
122 5.7780  -397.1614 -1042747.2791 372.2999
123 5.7679  -397.1614 -1042747.3370 372.2421
124 5.7579  -397.1615 -1042747.3914 372.1877
125 5.7479  -397.1615 -1042747.4418 372.1372
126 5.7379  -397.1615 -1042747.4883 372.0907
127 5.7279  -397.1615 -1042747.5306 372.0485
128 5.7179  -397.1615 -1042747.5687 372.0104
129 5.7078  -397.1615 -1042747.6024 371.9766
130 5.6978  -397.1615 -1042747.6317 371.9473
131 5.6878  -397.1616 -1042747.6565 371.9226
132 5.6778  -397.1616 -1042747.6765 371.9026
133 5.6678  -397.1616 -1042747.6917 371.8874
