0 0.9000  -3102.1348 -8144654.8745 1326.9072
1 0.9100  -3102.1674 -8144740.5749 1241.2069
2 0.9201  -3102.1981 -8144821.1118 1160.6699
3 0.9301  -3102.2269 -8144896.8031 1084.9786
4 0.9401  -3102.2540 -8144967.9241 1013.8576
5 0.9501  -3102.2795 -8145034.7097 947.0721
6 0.9602  -3102.3033 -8145097.3944 884.3873
7 0.9702  -3102.3257 -8145156.1840 825.5977
8 0.9802  -3102.3467 -8145211.3659 770.4158
9 0.9902  -3102.3664 -8145263.0664 718.7153
10 1.0003  -3102.3849 -8145311.4602 670.3215
11 1.0103  -3102.4021 -8145356.8068 624.9749
12 1.0203  -3102.4183 -8145399.2017 582.5800
13 1.0303  -3102.4334 -8145438.8417 542.9400
14 1.0404  -3102.4475 -8145475.8493 505.9325
15 1.0504  -3102.4606 -8145510.4340 471.3477
16 1.0604  -3102.4729 -8145542.6762 439.1055
17 1.0704  -3102.4844 -8145572.7224 409.0593
18 1.0805  -3102.4950 -8145600.6951 381.0866
19 1.0905  -3102.5049 -8145626.7024 355.0793
20 1.1005  -3102.5141 -8145650.8583 330.9234
21 1.1105  -3102.5227 -8145673.2604 308.5213
22 1.1206  -3102.5306 -8145694.0138 287.7680
23 1.1306  -3102.5379 -8145713.1762 268.6056
24 1.1406  -3102.5446 -8145730.9185 250.8632
25 1.1506  -3102.5509 -8145747.2626 234.5191
26 1.1607  -3102.5566 -8145762.2934 219.4883
27 1.1707  -3102.5618 -8145776.1226 205.6591
28 1.1807  -3102.5667 -8145788.7864 192.9953
29 1.1907  -3102.5711 -8145800.3815 181.4002
30 1.2008  -3102.5751 -8145810.9694 170.8123
31 1.2108  -3102.5788 -8145820.5952 161.1865
32 1.2208  -3102.5821 -8145829.3672 152.4145
33 1.2308  -3102.5851 -8145837.2786 144.5031
34 1.2409  -3102.5878 -8145844.4001 137.3816
35 1.2509  -3102.5903 -8145850.8486 130.9332
36 1.2609  -3102.5925 -8145856.5705 125.2112
37 1.2709  -3102.5944 -8145861.7194 120.0623
38 1.2810  -3102.5962 -8145866.2131 115.5686
39 1.2910  -3102.5977 -8145870.1869 111.5948
40 1.3010  -3102.5990 -8145873.6181 108.1636
41 1.3110  -3102.6001 -8145876.5968 105.1849
42 1.3211  -3102.6011 -8145879.1130 102.6688
43 1.3311  -3102.6019 -8145881.2374 100.5443
44 1.3411  -3102.6025 -8145882.9690 98.8128
45 1.3511  -3102.6031 -8145884.3805 97.4012
46 1.3612  -3102.6035 -8145885.4574 96.3244
47 1.3712  -3102.6038 -8145886.2472 95.5345
48 1.3812  -3102.6040 -8145886.8111 94.9706
49 1.3912  -3102.6041 -8145887.1133 94.6684
50 1.4013  -3102.6042 -8145887.2239 94.5579
51 1.4113  -3102.6041 -8145887.1512 94.6305
52 1.4213  -3102.6040 -8145886.9002 94.8815
53 1.4313  -3102.6039 -8145886.5460 95.2357
54 1.4414  -3102.6037 -8145886.0428 95.7389
55 1.4514  -3102.6035 -8145885.4622 96.3195
56 1.4614  -3102.6032 -8145884.7968 96.9849
57 1.4714  -3102.6030 -8145884.0467 97.7350
58 1.4815  -3102.6027 -8145883.3028 98.4790
59 1.4915  -3102.6024 -8145882.4864 99.2954
60 1.5015  -3102.6021 -8145881.7041 100.0776
61 1.5115  -3102.6017 -8145880.8753 100.9064
62 1.5216  -3102.6014 -8145880.1022 101.6796
63 1.5316  -3102.6011 -8145879.3121 102.4696
64 1.5416  -3102.6009 -8145878.6072 103.1745
65 1.5516  -3102.6006 -8145877.9010 103.8807
66 1.5617  -3102.6004 -8145877.3047 104.4770
67 1.5717  -3102.6002 -8145876.7184 105.0633
68 1.5817  -3102.6000 -8145876.2486 105.5331
69 1.5917  -3102.5998 -8145875.8097 105.9721
70 1.6018  -3102.5997 -8145875.5231 106.2586
71 1.6118  -3102.5996 -8145875.2518 106.5300
72 1.6218  -3102.5995 -8145875.1129 106.6688
73 1.6318  -3102.5995 -8145875.0154 106.7664
74 1.6419  -3102.5995 -8145875.0810 106.7007
75 1.6519  -3102.5996 -8145875.1644 106.6174
76 1.6619  -3102.5996 -8145875.3583 106.4234
77 1.6719  -3102.5997 -8145875.6164 106.1653
78 1.6820  -3102.5999 -8145876.0299 105.7518
79 1.6920  -3102.6001 -8145876.4571 105.3246
80 1.7020  -3102.6003 -8145877.0173 104.7644
81 1.7120  -3102.6005 -8145877.5938 104.1879
82 1.7221  -3102.6007 -8145878.2575 103.5242
83 1.7321  -3102.6010 -8145878.9693 102.8124
84 1.7421  -3102.6013 -8145879.8161 101.9656
85 1.7521  -3102.6017 -8145880.6557 101.1260
86 1.7622  -3102.6020 -8145881.5607 100.2210
87 1.7722  -3102.6024 -8145882.4991 99.2826
88 1.7822  -3102.6028 -8145883.5509 98.2308
89 1.7922  -3102.6032 -8145884.5856 97.1962
90 1.8023  -3102.6036 -8145885.6368 96.1449
91 1.8123  -3102.6040 -8145886.7879 94.9938
92 1.8223  -3102.6044 -8145887.9253 93.8564
93 1.8323  -3102.6049 -8145889.0893 92.6924
94 1.8424  -3102.6053 -8145890.3241 91.4576
95 1.8524  -3102.6058 -8145891.5415 90.2402
96 1.8624  -3102.6063 -8145892.8134 88.9683
97 1.8724  -3102.6068 -8145894.0672 87.7145
98 1.8825  -3102.6073 -8145895.3723 86.4094
