0 0.9000  -544.5017 -1429589.1535 1347.9744
1 0.9100  -544.5344 -1429675.0324 1262.0954
2 0.9201  -544.5652 -1429755.8459 1181.2819
3 0.9301  -544.5941 -1429831.8318 1105.2961
4 0.9401  -544.6213 -1429903.2352 1033.8927
5 0.9501  -544.6468 -1429970.2971 966.8308
6 0.9602  -544.6708 -1430033.2854 903.8425
7 0.9702  -544.6933 -1430092.3855 844.7424
8 0.9802  -544.7145 -1430147.8135 789.3143
9 0.9902  -544.7343 -1430199.7746 737.3532
10 1.0003  -544.7528 -1430248.4405 688.6874
11 1.0103  -544.7701 -1430293.9713 643.1566
12 1.0203  -544.7864 -1430336.6606 600.4672
13 1.0303  -544.8016 -1430376.5221 560.6058
14 1.0404  -544.8158 -1430413.7773 523.3506
15 1.0504  -544.8290 -1430448.5495 488.5783
16 1.0604  -544.8414 -1430480.9866 456.1413
17 1.0704  -544.8529 -1430511.2138 425.9141
18 1.0805  -544.8636 -1430539.3595 397.7684
19 1.0905  -544.8736 -1430565.5362 371.5917
20 1.1005  -544.8828 -1430589.8518 347.2761
21 1.1105  -544.8914 -1430612.4178 324.7101
22 1.1206  -544.8994 -1430633.3472 303.7806
23 1.1306  -544.9068 -1430652.7130 284.4149
24 1.1406  -544.9136 -1430670.5973 266.5306
25 1.1506  -544.9199 -1430687.1345 249.9933
26 1.1607  -544.9257 -1430702.3398 234.7880
27 1.1707  -544.9310 -1430716.3491 220.7788
28 1.1807  -544.9359 -1430729.1792 207.9486
29 1.1907  -544.9404 -1430740.9593 196.1685
30 1.2008  -544.9445 -1430751.6989 185.4290
31 1.2108  -544.9482 -1430761.5233 175.6045
32 1.2208  -544.9516 -1430770.4232 166.7047
33 1.2308  -544.9547 -1430778.4684 158.6594
34 1.2409  -544.9575 -1430785.8010 151.3269
35 1.2509  -544.9599 -1430792.3471 144.7808
36 1.2609  -544.9622 -1430798.2738 138.8541
37 1.2709  -544.9642 -1430803.5111 133.6167
38 1.2810  -544.9660 -1430808.2122 128.9156
39 1.2910  -544.9676 -1430812.3825 124.7454
40 1.3010  -544.9690 -1430815.9847 121.1432
41 1.3110  -544.9702 -1430819.1571 117.9708
42 1.3211  -544.9712 -1430821.8509 115.2770
43 1.3311  -544.9721 -1430824.1947 112.9332
44 1.3411  -544.9728 -1430826.1193 111.0086
45 1.3511  -544.9734 -1430827.7393 109.3886
46 1.3612  -544.9739 -1430829.0454 108.0825
47 1.3712  -544.9743 -1430830.0631 107.0648
48 1.3812  -544.9746 -1430830.7791 106.3488
49 1.3912  -544.9748 -1430831.3117 105.8162
50 1.4013  -544.9749 -1430831.5972 105.5306
51 1.4113  -544.9750 -1430831.7456 105.3823
52 1.4213  -544.9749 -1430831.6880 105.4399
53 1.4313  -544.9749 -1430831.5191 105.6087
54 1.4414  -544.9747 -1430831.1991 105.9287
55 1.4514  -544.9746 -1430830.8090 106.3189
56 1.4614  -544.9744 -1430830.3061 106.8218
57 1.4714  -544.9742 -1430829.7697 107.3582
58 1.4815  -544.9740 -1430829.1528 107.9751
59 1.4915  -544.9737 -1430828.5390 108.5889
60 1.5015  -544.9735 -1430827.8707 109.2572
61 1.5115  -544.9732 -1430827.2360 109.8919
62 1.5216  -544.9730 -1430826.5694 110.5585
63 1.5316  -544.9728 -1430825.9631 111.1648
64 1.5416  -544.9725 -1430825.3435 111.7843
65 1.5516  -544.9723 -1430824.8060 112.3218
66 1.5617  -544.9721 -1430824.2702 112.8577
67 1.5717  -544.9719 -1430823.8350 113.2929
68 1.5817  -544.9718 -1430823.4119 113.7160
69 1.5917  -544.9717 -1430823.1013 114.0266
70 1.6018  -544.9716 -1430822.8126 114.3152
71 1.6118  -544.9715 -1430822.6464 114.4815
72 1.6218  -544.9714 -1430822.5049 114.6230
73 1.6318  -544.9714 -1430822.4896 114.6383
74 1.6419  -544.9714 -1430822.5039 114.6240
75 1.6519  -544.9715 -1430822.6484 114.4795
76 1.6619  -544.9716 -1430822.8199 114.3080
77 1.6719  -544.9717 -1430823.1181 114.0098
78 1.6820  -544.9718 -1430823.4447 113.6832
79 1.6920  -544.9720 -1430823.8967 113.2312
80 1.7020  -544.9721 -1430824.3720 112.7559
81 1.7120  -544.9724 -1430824.9627 112.1651
82 1.7221  -544.9726 -1430825.5769 111.5509
83 1.7321  -544.9729 -1430826.2930 110.8349
84 1.7421  -544.9732 -1430827.0201 110.1077
85 1.7521  -544.9735 -1430827.8576 109.2702
86 1.7622  -544.9738 -1430828.7075 108.4204
87 1.7722  -544.9742 -1430829.7088 107.4191
88 1.7822  -544.9745 -1430830.6727 106.4552
89 1.7922  -544.9749 -1430831.7133 105.4145
90 1.8023  -544.9753 -1430832.7557 104.3722
91 1.8123  -544.9758 -1430833.8811 103.2468
92 1.8223  -544.9762 -1430835.0077 102.1202
93 1.8323  -544.9776 -1430838.5716 98.5563
94 1.8424  -544.9781 -1430839.9750 97.1529
95 1.8524  -544.9786 -1430841.4083 95.7196
96 1.8624  -544.9792 -1430842.8837 94.2442
97 1.8724  -544.9798 -1430844.3397 92.7882
98 1.8825  -544.9803 -1430845.8374 91.2905
99 1.8925  -544.9809 -1430847.3314 89.7965
100 1.9025  -544.9815 -1430848.8135 88.3144
101 1.9125  -544.9820 -1430850.3314 86.7965
102 1.9226  -544.9826 -1430851.8213 85.3066
103 1.9326  -544.9832 -1430853.3389 83.7890
104 1.9426  -544.9838 -1430854.8773 82.2506
105 1.9526  -544.9843 -1430856.3659 80.7620
106 1.9627  -544.9849 -1430857.8736 79.2543
107 1.9727  -544.9855 -1430859.3574 77.7705
108 1.9827  -544.9860 -1430860.8658 76.2621
109 1.9927  -544.9866 -1430862.3327 74.7951
110 2.0028  -544.9872 -1430863.8100 73.3179
111 2.0128  -544.9877 -1430865.2512 71.8766
112 2.0228  -544.9883 -1430866.7429 70.3850
113 2.0328  -544.9888 -1430868.1752 68.9526
114 2.0429  -544.9894 -1430869.5639 67.5640
115 2.0529  -544.9899 -1430871.0154 66.1125
116 2.0629  -544.9904 -1430872.4086 64.7193
117 2.0729  -544.9910 -1430873.7537 63.3742
118 2.0830  -544.9915 -1430875.1716 61.9563
119 2.0930  -544.9920 -1430876.5213 60.6066
120 2.1030  -544.9925 -1430877.9319 59.1959
121 2.1130  -544.9930 -1430879.1855 57.9424
122 2.1231  -544.9936 -1430880.5703 56.5576
123 2.1331  -544.9940 -1430881.8575 55.2704
124 2.1431  -544.9945 -1430883.1032 54.0247
125 2.1531  -544.9950 -1430884.3876 52.7402
126 2.1632  -544.9955 -1430885.6214 51.5065
127 2.1732  -544.9959 -1430886.8359 50.2920
128 2.1832  -544.9964 -1430888.0316 49.0963
129 2.1932  -544.9968 -1430889.2091 47.9188
130 2.2033  -544.9973 -1430890.3685 46.7594
131 2.2133  -544.9977 -1430891.5097 45.6182
132 2.2233  -544.9981 -1430892.6327 44.4951
133 2.2333  -544.9986 -1430893.7376 43.3903
134 2.2434  -544.9990 -1430894.8239 42.3039
135 2.2534  -544.9994 -1430895.8919 41.2360
136 2.2634  -544.9998 -1430896.9414 40.1865
137 2.2734  -545.0002 -1430897.9722 39.1556
138 2.2835  -545.0006 -1430898.9845 38.1434
139 2.2935  -545.0009 -1430899.9782 37.1497
140 2.3035  -545.0013 -1430900.9532 36.1747
141 2.3135  -545.0017 -1430901.9096 35.2183
142 2.3236  -545.0020 -1430902.8474 34.2805
143 2.3336  -545.0024 -1430903.7667 33.3612
144 2.3436  -545.0027 -1430904.6676 32.4602
145 2.3536  -545.0031 -1430905.5502 31.5777
146 2.3637  -545.0034 -1430906.4145 30.7133
147 2.3737  -545.0037 -1430907.2608 29.8671
148 2.3837  -545.0040 -1430908.0891 29.0388
149 2.3937  -545.0043 -1430908.8995 28.2284
150 2.4038  -545.0046 -1430909.6922 27.4357
151 2.4138  -545.0049 -1430910.4674 26.6605
