0 0.9000  -544.5070 -1429603.1749 1332.6471
1 0.9100  -544.5397 -1429688.9533 1246.8687
2 0.9201  -544.5704 -1429769.6156 1166.2065
3 0.9301  -544.5993 -1429845.4429 1090.3792
4 0.9401  -544.6264 -1429916.6832 1019.1389
5 0.9501  -544.6519 -1429983.6091 952.2130
6 0.9602  -544.6758 -1430046.4186 889.4035
7 0.9702  -544.6983 -1430105.3549 830.4672
8 0.9802  -544.7193 -1430160.6273 775.1948
9 0.9902  -544.7391 -1430212.4442 723.3778
10 1.0003  -544.7576 -1430260.9642 674.8578
11 1.0103  -544.7749 -1430306.3932 629.4288
12 1.0203  -544.7910 -1430348.8886 586.9334
13 1.0303  -544.8062 -1430388.6153 547.2068
14 1.0404  -544.8203 -1430425.7221 510.1000
15 1.0504  -544.8335 -1430460.3559 475.4661
16 1.0604  -544.8458 -1430492.6609 443.1611
17 1.0704  -544.8573 -1430522.7572 413.0648
18 1.0805  -544.8679 -1430550.7658 385.0563
19 1.0905  -544.8778 -1430576.7913 359.0308
20 1.1005  -544.8871 -1430601.0119 334.8101
21 1.1105  -544.8956 -1430623.4333 312.3888
22 1.1206  -544.9035 -1430644.2458 291.5762
23 1.1306  -544.9109 -1430663.4728 272.3492
24 1.1406  -544.9176 -1430681.2581 254.5639
25 1.1506  -544.9239 -1430697.6410 238.1810
26 1.1607  -544.9296 -1430712.7348 223.0873
27 1.1707  -544.9349 -1430726.6032 209.2189
28 1.1807  -544.9398 -1430739.3237 196.4984
29 1.1907  -544.9442 -1430750.9517 184.8703
30 1.2008  -544.9482 -1430761.5809 174.2412
31 1.2108  -544.9519 -1430771.2426 164.5795
32 1.2208  -544.9553 -1430780.0252 155.7969
33 1.2308  -544.9583 -1430787.9583 147.8637
34 1.2409  -544.9610 -1430795.0862 140.7359
35 1.2509  -544.9635 -1430801.5471 134.2750
36 1.2609  -544.9656 -1430807.2830 128.5390
37 1.2709  -544.9676 -1430812.3936 123.4285
38 1.2810  -544.9693 -1430816.8414 118.9806
39 1.2910  -544.9708 -1430820.8767 114.9454
40 1.3010  -544.9721 -1430824.3236 111.4985
41 1.3110  -544.9733 -1430827.3158 108.5062
42 1.3211  -544.9742 -1430829.8564 105.9657
43 1.3311  -544.9751 -1430832.0062 103.8158
44 1.3411  -544.9757 -1430833.7408 102.0813
