0 0.9000  -454.6525 -1193690.0921 1247.7534
1 0.9200  -454.7175 -1193860.8554 1076.9901
2 0.9401  -454.7750 -1194011.6576 926.1879
3 0.9601  -454.8256 -1194144.6139 793.2316
4 0.9801  -454.8702 -1194261.6115 676.2340
5 1.0001  -454.9093 -1194364.3424 573.5031
6 1.0202  -454.9436 -1194454.3174 483.5281
7 1.0402  -454.9735 -1194532.8901 404.9554
8 1.0602  -454.9995 -1194601.2723 336.5732
9 1.0802  -455.0221 -1194660.5495 277.2960
10 1.1003  -455.0416 -1194711.6976 226.1479
11 1.1203  -455.0583 -1194755.5919 182.2536
12 1.1403  -455.0726 -1194793.0179 144.8276
13 1.1603  -455.0846 -1194824.6822 113.1633
14 1.1804  -455.0947 -1194851.2212 86.6243
15 1.2004  -455.1031 -1194873.2092 64.6363
16 1.2204  -455.1099 -1194891.1636 46.6819
17 1.2404  -455.1154 -1194905.5509 32.2946
18 1.2605  -455.1197 -1194916.7910 21.0545
19 1.2805  -455.1229 -1194925.2629 12.5826
20 1.3005  -455.1252 -1194931.3092 6.5363
21 1.3205  -455.1267 -1194935.2397 2.6058
22 1.3406  -455.1275 -1194937.3343 0.5112
23 1.3606  -455.1277 -1194937.8455 0.0000
24 1.3806  -455.1274 -1194937.0005 0.8450
25 1.4006  -455.1266 -1194935.0038 2.8417
26 1.4207  -455.1255 -1194932.0397 5.8058
27 1.4407  -455.1241 -1194928.2742 9.5713
28 1.4607  -455.1224 -1194923.8564 13.9891
29 1.4807  -455.1205 -1194918.9201 18.9254
30 1.5008  -455.1185 -1194913.5843 24.2612
31 1.5208  -455.1163 -1194907.9543 29.8912
32 1.5408  -455.1141 -1194902.1232 35.7223
33 1.5608  -455.1119 -1194896.1724 41.6731
34 1.5809  -455.1096 -1194890.1731 47.6724
35 1.6009  -455.1073 -1194884.1870 53.6585
36 1.6209  -455.1050 -1194878.2666 59.5789
37 1.6409  -455.1028 -1194872.4559 65.3896
38 1.6610  -455.1007 -1194866.7911 71.0544
39 1.6810  -455.0986 -1194861.3011 76.5444
40 1.7010  -455.0966 -1194856.0083 81.8372
41 1.7210  -455.0946 -1194850.9295 86.9160
42 1.7411  -455.0928 -1194846.0761 91.7694
43 1.7611  -455.0910 -1194841.4553 96.3902
44 1.7811  -455.0893 -1194837.0703 100.7752
45 1.8011  -455.0878 -1194832.9209 104.9246
46 1.8212  -455.0863 -1194829.0042 108.8413
47 1.8412  -455.0849 -1194825.3148 112.5307
48 1.8612  -455.0835 -1194821.8455 116.0000
49 1.8812  -455.0823 -1194818.5879 119.2576
50 1.9013  -455.0811 -1194815.5323 122.3132
51 1.9213  -455.0800 -1194812.6686 125.1769
52 1.9413  -455.0790 -1194809.9863 127.8592
53 1.9613  -455.0781 -1194807.4747 130.3708
54 1.9814  -455.0772 -1194805.1229 132.7226
55 2.0014  -455.0763 -1194802.9202 134.9253
56 2.0214  -455.0755 -1194800.8563 136.9892
57 2.0414  -455.0748 -1194798.9209 138.9246
58 2.0615  -455.0741 -1194797.1044 140.7411
59 2.0815  -455.0735 -1194795.3974 142.4481
60 2.1015  -455.0729 -1194793.7912 144.0543
61 2.1215  -455.0723 -1194792.2775 145.5680
62 2.1416  -455.0717 -1194790.8487 146.9968
63 2.1616  -455.0712 -1194789.4977 148.3478
64 2.1816  -455.0707 -1194788.2177 149.6278
65 2.2016  -455.0703 -1194787.0025 150.8430
66 2.2217  -455.0698 -1194785.8466 151.9989
67 2.2417  -455.0694 -1194784.7446 153.1009
68 2.2617  -455.0690 -1194783.6918 154.1537
69 2.2817  -455.0686 -1194782.6840 155.1615
70 2.3018  -455.0683 -1194781.7172 156.1283
71 2.3218  -455.0679 -1194780.7878 157.0577
72 2.3418  -455.0676 -1194779.8927 157.9528
73 2.3618  -455.0672 -1194779.0291 158.8164
74 2.3819  -455.0669 -1194778.1912 159.6543
75 2.4019  -455.0666 -1194777.3854 160.4601
76 2.4219  -455.0663 -1194776.6024 161.2431
77 2.4419  -455.0660 -1194775.8414 162.0041
78 2.4620  -455.0657 -1194775.1016 162.7439
79 2.4820  -455.0655 -1194774.3815 163.4641
80 2.5020  -455.0652 -1194773.6798 164.1657
81 2.5220  -455.0649 -1194772.9956 164.8499
82 2.5421  -455.0647 -1194772.3278 165.5177
83 2.5621  -455.0644 -1194771.6757 166.1698
84 2.5821  -455.0642 -1194771.0386 166.8069
85 2.6021  -455.0640 -1194770.4157 167.4298
86 2.6222  -455.0637 -1194769.8064 168.0391
87 2.6422  -455.0635 -1194769.2103 168.6352
88 2.6622  -455.0633 -1194768.6268 169.2187
89 2.6822  -455.0631 -1194768.0555 169.7900
90 2.7023  -455.0628 -1194767.4960 170.3495
91 2.7223  -455.0626 -1194766.9480 170.8975
92 2.7423  -455.0624 -1194766.4112 171.4343
93 2.7623  -455.0622 -1194765.8855 171.9600
94 2.7824  -455.0620 -1194765.3706 172.4749
95 2.8024  -455.0618 -1194764.8666 172.9789
96 2.8224  -455.0617 -1194764.3731 173.4724
97 2.8424  -455.0615 -1194763.8902 173.9553
98 2.8625  -455.0613 -1194763.4177 174.4278
99 2.8825  -455.0611 -1194762.9555 174.8900
100 2.9025  -455.0609 -1194762.5034 175.3422
101 2.9225  -455.0608 -1194762.0612 175.7843
102 2.9426  -455.0606 -1194761.6289 176.2166
103 2.9626  -455.0604 -1194761.2061 176.6394
104 2.9826  -455.0603 -1194760.7928 177.0527
105 3.0026  -455.0601 -1194760.3888 177.4567
106 3.0227  -455.0600 -1194759.9939 177.8516
107 3.0427  -455.0598 -1194759.6080 178.2375
108 3.0627  -455.0597 -1194759.2311 178.6144
109 3.0827  -455.0596 -1194758.8631 178.9824
110 3.1028  -455.0594 -1194758.5039 179.3416
111 3.1228  -455.0593 -1194758.1535 179.6920
112 3.1428  -455.0592 -1194757.8118 180.0337
113 3.1628  -455.0590 -1194757.4788 180.3667
114 3.1829  -455.0589 -1194757.1544 180.6911
115 3.2029  -455.0588 -1194756.8385 181.0070
116 3.2229  -455.0587 -1194756.5312 181.3144
117 3.2429  -455.0586 -1194756.2324 181.6131
118 3.2630  -455.0584 -1194755.9425 181.9030
119 3.2830  -455.0583 -1194755.6616 182.1839
120 3.3030  -455.0582 -1194755.3906 182.4549
121 3.3230  -455.0581 -1194755.1374 182.7082
122 3.3431  -455.0585 -1194755.9928 181.8527
123 3.3631  -455.0584 -1194755.7651 182.0804
124 3.3831  -455.0583 -1194755.5409 182.3046
125 3.4031  -455.0582 -1194755.3218 182.5237
126 3.4232  -455.0581 -1194755.1079 182.7376
127 3.4432  -455.0580 -1194754.8991 182.9464
128 3.4632  -455.0580 -1194754.6930 183.1525
129 3.4832  -455.0579 -1194754.4922 183.3533
130 3.5033  -455.0578 -1194754.2971 183.5484
131 3.5233  -455.0577 -1194754.1074 183.7381
132 3.5433  -455.0577 -1194753.9230 183.9225
133 3.5633  -455.0576 -1194753.7435 184.1020
134 3.5834  -455.0575 -1194753.5686 184.2769
135 3.6034  -455.0575 -1194753.4008 184.4447
136 3.6234  -455.0574 -1194753.2341 184.6114
137 3.6434  -455.0573 -1194753.0713 184.7742
138 3.6635  -455.0573 -1194752.9127 184.9328
139 3.6835  -455.0572 -1194752.7605 185.0850
140 3.7035  -455.0572 -1194752.6093 185.2362
141 3.7235  -455.0571 -1194752.4618 185.3837
142 3.7436  -455.0571 -1194752.3184 185.5271
143 3.7636  -455.0570 -1194752.1812 185.6643
144 3.7836  -455.0570 -1194752.0450 185.8005
145 3.8036  -455.0569 -1194751.9125 185.9330
146 3.8237  -455.0569 -1194751.7839 186.0616
147 3.8437  -455.0568 -1194751.6614 186.1842
148 3.8637  -455.0568 -1194751.5397 186.3058
149 3.8837  -455.0567 -1194751.4216 186.4239
150 3.9038  -455.0567 -1194751.3091 186.5364
151 3.9238  -455.0566 -1194751.1973 186.6482
152 3.9438  -455.0566 -1194751.0885 186.7570
153 3.9638  -455.0566 -1194750.9848 186.8607
154 3.9839  -455.0565 -1194750.8813 186.9642
155 4.0039  -455.0565 -1194750.7823 187.0632
156 4.0239  -455.0564 -1194750.6855 187.1600
157 4.0439  -455.0564 -1194750.5892 187.2563
158 4.0640  -455.0564 -1194750.4975 187.3480
159 4.0840  -455.0563 -1194750.4080 187.4375
160 4.1040  -455.0563 -1194750.3207 187.5248
161 4.1240  -455.0563 -1194750.2357 187.6098
162 4.1441  -455.0562 -1194750.1516 187.6939
163 4.1641  -455.0562 -1194750.0721 187.7734
164 4.1841  -455.0562 -1194749.9947 187.8508
165 4.2041  -455.0561 -1194749.9180 187.9275
166 4.2242  -455.0561 -1194749.8456 188.0000
167 4.2442  -455.0561 -1194749.7750 188.0706
168 4.2642  -455.0561 -1194749.7046 188.1409
169 4.2842  -455.0560 -1194749.6380 188.2075
170 4.3043  -455.0560 -1194749.5712 188.2743
171 4.3243  -455.0560 -1194749.5080 188.3375
172 4.3443  -455.0560 -1194749.4445 188.4010
173 4.3643  -455.0559 -1194749.3845 188.4610
174 4.3844  -455.0559 -1194749.3257 188.5198
175 4.4044  -455.0559 -1194749.2668 188.5787
176 4.4244  -455.0559 -1194749.2115 188.6340
177 4.4444  -455.0559 -1194749.1574 188.6881
178 4.4645  -455.0558 -1194749.1032 188.7423
179 4.4845  -455.0558 -1194749.0524 188.7931
180 4.5045  -455.0558 -1194749.0026 188.8429
181 4.5245  -455.0558 -1194748.9541 188.8914
182 4.5446  -455.0558 -1194748.9053 188.9402
183 4.5646  -455.0557 -1194748.8600 188.9855
184 4.5846  -455.0557 -1194748.8155 189.0300
185 4.6046  -455.0557 -1194748.7707 189.0748
186 4.6247  -455.0557 -1194748.7289 189.1167
187 4.6447  -455.0557 -1194748.6861 189.1594
188 4.6647  -455.0557 -1194748.6462 189.1993
189 4.6847  -455.0556 -1194748.6053 189.2402
190 4.7048  -455.0556 -1194748.5655 189.2800
191 4.7248  -455.0556 -1194748.5286 189.3169
192 4.7448  -455.0556 -1194748.4903 189.3552
193 4.7648  -455.0556 -1194748.4531 189.3924
194 4.7849  -455.0556 -1194748.4186 189.4269
195 4.8049  -455.0556 -1194748.3827 189.4628
196 4.8249  -455.0556 -1194748.3477 189.4978
197 4.8449  -455.0555 -1194748.3155 189.5300
198 4.8650  -455.0555 -1194748.2818 189.5637
199 4.8850  -455.0555 -1194748.2490 189.5965
200 4.9050  -455.0555 -1194748.2191 189.6264
201 4.9250  -455.0555 -1194748.1876 189.6580
202 4.9451  -455.0555 -1194748.1569 189.6886
203 4.9651  -455.0555 -1194748.1289 189.7166
204 4.9851  -455.0555 -1194748.0993 189.7462
205 5.0051  -455.0554 -1194748.0705 189.7750
206 5.0252  -455.0554 -1194748.0443 189.8012
207 5.0452  -455.0554 -1194748.0162 189.8293
208 5.0652  -455.0554 -1194747.9888 189.8567
209 5.0852  -455.0554 -1194747.9620 189.8835
210 5.1053  -455.0554 -1194747.9377 189.9078
211 5.1253  -455.0554 -1194747.9114 189.9341
212 5.1453  -455.0554 -1194747.8856 189.9599
213 5.1653  -455.0554 -1194747.8605 189.9850
214 5.1854  -455.0554 -1194747.8360 190.0095
215 5.2054  -455.0553 -1194747.8119 190.0336
216 5.2254  -455.0553 -1194747.7882 190.0573
217 5.2454  -455.0553 -1194747.7648 190.0807
218 5.2655  -455.0553 -1194747.7419 190.1036
219 5.2855  -455.0553 -1194747.7193 190.1262
220 5.3055  -455.0553 -1194747.6971 190.1484
221 5.3255  -455.0553 -1194747.6752 190.1703
222 5.3456  -455.0553 -1194747.6537 190.1918
223 5.3656  -455.0553 -1194747.6325 190.2130
224 5.3856  -455.0553 -1194747.6117 190.2338
225 5.4056  -455.0553 -1194747.5911 190.2544
226 5.4257  -455.0553 -1194747.5708 190.2747
227 5.4457  -455.0552 -1194747.5509 190.2946
228 5.4657  -455.0552 -1194747.5313 190.3142
229 5.4857  -455.0552 -1194747.5119 190.3336
230 5.5058  -455.0552 -1194747.4928 190.3527
231 5.5258  -455.0552 -1194747.4739 190.3716
232 5.5458  -455.0552 -1194747.4553 190.3902
233 5.5658  -455.0552 -1194747.4369 190.4086
234 5.5859  -455.0552 -1194747.4187 190.4268
235 5.6059  -455.0552 -1194747.4008 190.4447
236 5.6259  -455.0552 -1194747.3831 190.4624
