0 0.9000  -148.4626 -389788.6726 1417.1764
1 0.9200  -148.5312 -389968.6726 1237.1765
2 0.9401  -148.5921 -390128.4383 1077.4107
3 0.9601  -148.6460 -390270.0921 935.7569
4 0.9801  -148.6938 -390395.5324 810.3167
5 1.0001  -148.7360 -390506.4592 699.3898
6 1.0202  -148.7733 -390604.3949 601.4542
7 1.0402  -148.8062 -390690.7022 515.1468
8 1.0602  -148.8351 -390766.6027 439.2464
9 1.0802  -148.8605 -390833.1931 372.6559
10 1.1003  -148.8827 -390891.4592 314.3898
11 1.1203  -148.9020 -390942.2864 263.5626
12 1.1403  -148.9189 -390986.4700 219.3790
13 1.1603  -148.9334 -391024.7251 181.1239
14 1.1804  -148.9460 -391057.6967 148.1523
15 1.2004  -148.9568 -391085.9667 119.8824
16 1.2204  -148.9659 -391110.0594 95.7896
17 1.2404  -148.9737 -391130.4467 75.4024
18 1.2605  -148.9802 -391147.5526 58.2964
19 1.2805  -148.9856 -391161.7590 44.0900
20 1.3005  -148.9901 -391173.4101 32.4390
21 1.3205  -148.9936 -391182.8161 23.0330
22 1.3406  -148.9965 -391190.2556 15.5934
23 1.3606  -148.9987 -391195.9783 9.8707
24 1.3806  -149.0003 -391200.2070 5.6421
25 1.4006  -149.0014 -391203.1404 2.7086
26 1.4207  -149.0021 -391204.9561 0.8930
27 1.4407  -149.0024 -391205.8121 0.0369
28 1.4607  -149.0024 -391205.8490 0.0000
29 1.4807  -149.0022 -391205.1910 0.6580
30 1.5008  -149.0017 -391203.9471 1.9019
31 1.5208  -149.0010 -391202.2129 3.6362
32 1.5408  -149.0002 -391200.0717 5.7774
33 1.5608  -148.9993 -391197.5962 8.2528
34 1.5809  -148.9982 -391194.8496 10.9995
35 1.6009  -148.9971 -391191.8865 13.9625
36 1.6209  -148.9959 -391188.7540 17.0950
37 1.6409  -148.9947 -391185.4923 20.3567
38 1.6610  -148.9934 -391182.1355 23.7135
39 1.6810  -148.9921 -391178.7126 27.1365
40 1.7010  -148.9908 -391175.2477 30.6014
41 1.7210  -148.9894 -391171.7612 34.0879
42 1.7411  -148.9881 -391168.2702 37.5789
43 1.7611  -148.9868 -391164.7888 41.0603
44 1.7811  -148.9855 -391161.3286 44.5204
45 1.8011  -148.9842 -391157.8993 47.9497
46 1.8212  -148.9829 -391154.5084 51.3407
47 1.8412  -148.9816 -391151.1618 54.6873
48 1.8612  -148.9803 -391147.8641 57.9850
49 1.8812  -148.9791 -391144.6188 61.2303
50 1.9013  -148.9779 -391141.4282 64.4208
51 1.9213  -148.9767 -391138.2942 67.5548
52 1.9413  -148.9755 -391135.2177 70.6313
53 1.9613  -148.9744 -391132.1992 73.6498
54 1.9814  -148.9732 -391129.2387 76.6103
55 2.0014  -148.9721 -391126.3357 79.5133
56 2.0214  -148.9710 -391123.4895 82.3595
57 2.0414  -148.9700 -391120.6991 85.1499
58 2.0615  -148.9689 -391117.9633 87.8858
