0 0.9000  -337.9504 -887288.8857 1248.4850
1 0.9200  -338.0156 -887459.9545 1077.4163
2 0.9401  -338.0732 -887611.0657 926.3050
3 0.9601  -338.1239 -887744.3260 793.0447
4 0.9801  -338.1686 -887861.6219 675.7489
5 1.0001  -338.2078 -887964.6354 572.7353
6 1.0202  -338.2422 -888054.8764 482.4944
7 1.0402  -338.2722 -888133.6938 403.6769
8 1.0602  -338.2983 -888202.2955 335.0753
9 1.0802  -338.3210 -888261.7640 275.6068
10 1.1003  -338.3405 -888313.0731 224.2977
11 1.1203  -338.3573 -888357.0933 180.2775
12 1.1403  -338.3716 -888394.6097 142.7611
13 1.1603  -338.3837 -888426.3240 111.0467
14 1.1804  -338.3938 -888452.8724 84.4983
15 1.2004  -338.4021 -888474.8251 62.5457
16 1.2204  -338.4090 -888492.6991 44.6716
17 1.2404  -338.4144 -888506.9574 30.4134
18 1.2605  -338.4186 -888518.0192 19.3515
19 1.2805  -338.4217 -888526.2605 11.1102
20 1.3005  -338.4239 -888532.0233 5.3475
21 1.3205  -338.4253 -888535.6145 1.7562
22 1.3406  -338.4259 -888537.3132 0.0576
23 1.3606  -338.4260 -888537.3708 0.0000
24 1.3806  -338.4254 -888536.0115 1.3593
25 1.4006  -338.4245 -888533.4391 3.9317
26 1.4207  -338.4231 -888529.8372 7.5335
27 1.4407  -338.4214 -888525.3691 12.0017
28 1.4607  -338.4194 -888520.1836 17.1872
29 1.4807  -338.4172 -888514.4138 22.9569
30 1.5008  -338.4148 -888508.1765 29.1942
31 1.5208  -338.4123 -888501.5771 35.7937
32 1.5408  -338.4097 -888494.7085 42.6623
33 1.5608  -338.4070 -888487.6509 49.7199
34 1.5809  -338.4043 -888480.4764 56.8944
35 1.6009  -338.4015 -888473.2474 64.1234
36 1.6209  -338.3988 -888466.0164 71.3544
37 1.6409  -338.3961 -888458.8297 78.5411
38 1.6610  -338.3933 -888451.7256 85.6451
39 1.6810  -338.3907 -888444.7349 92.6359
40 1.7010  -338.3881 -888437.8838 99.4870
41 1.7210  -338.3855 -888431.1926 106.1782
