0 0.9000  -334.1575 -877330.6401 1246.7848
1 0.9200  -334.2223 -877500.6446 1076.7804
2 0.9401  -334.2795 -877650.8796 926.5454
3 0.9601  -334.3300 -877783.4242 794.0008
4 0.9801  -334.3745 -877900.1411 677.2839
5 1.0001  -334.4135 -878002.6955 574.7295
6 1.0202  -334.4478 -878092.5805 484.8444
7 1.0402  -334.4777 -878171.1320 406.2930
8 1.0602  -334.5037 -878239.5461 337.8788
9 1.0802  -334.5263 -878298.8966 278.5283
10 1.1003  -334.5459 -878350.1488 227.2762
11 1.1203  -334.5626 -878394.1668 183.2581
12 1.1403  -334.5769 -878431.7297 145.6952
13 1.1603  -334.5890 -878463.5356 113.8894
14 1.1804  -334.5992 -878490.2153 87.2097
15 1.2004  -334.6076 -878512.3390 65.0860
16 1.2204  -334.6145 -878530.4179 47.0071
17 1.2404  -334.6200 -878544.9152 32.5097
18 1.2605  -334.6244 -878556.2487 21.1762
19 1.2805  -334.6276 -878564.7932 12.6318
20 1.3005  -334.6299 -878570.8895 6.5354
21 1.3205  -334.6314 -878574.8457 2.5792
22 1.3406  -334.6322 -878576.9409 0.4840
23 1.3606  -334.6324 -878577.4250 0.0000
24 1.3806  -334.6321 -878576.5246 0.9003
25 1.4006  -334.6313 -878574.4436 2.9814
26 1.4207  -334.6301 -878571.3656 6.0594
27 1.4407  -334.6286 -878567.4560 9.9689
28 1.4607  -334.6269 -878562.8637 14.5613
29 1.4807  -334.6249 -878557.7217 19.7033
30 1.5008  -334.6228 -878552.1486 25.2764
31 1.5208  -334.6205 -878546.2493 31.1756
32 1.5408  -334.6182 -878540.1163 37.3086
33 1.5608  -334.6158 -878533.8306 43.5944
34 1.5809  -334.6134 -878527.4626 49.9623
35 1.6009  -334.6110 -878521.0733 56.3516
36 1.6209  -334.6085 -878514.7145 62.7105
37 1.6409  -334.6061 -878508.4295 68.9955
38 1.6610  -334.6038 -878502.2538 75.1712
39 1.6810  -334.6015 -878496.2159 81.2091
40 1.7010  -334.5993 -878490.3379 87.0870
41 1.7210  -334.5971 -878484.6367 92.7883
42 1.7411  -334.5950 -878479.1240 98.3009
43 1.7611  -334.5930 -878473.8078 103.6172
44 1.7811  -334.5910 -878468.6922 108.7327
45 1.8011  -334.5891 -878463.7787 113.6463
46 1.8212  -334.5873 -878459.0659 118.3590
47 1.8412  -334.5856 -878454.5507 122.8742
48 1.8612  -334.5840 -878450.2284 127.1966
49 1.8812  -334.5824 -878446.0928 131.3321
50 1.9013  -334.5809 -878442.1374 135.2876
51 1.9213  -334.5795 -878438.3546 139.0704
52 1.9413  -334.5781 -878434.7368 142.6882
53 1.9613  -334.5768 -878431.2760 146.1490
54 1.9814  -334.5755 -878427.9643 149.4607
55 2.0014  -334.5743 -878424.7936 152.6313
56 2.0214  -334.5731 -878421.7561 155.6688
57 2.0414  -334.5720 -878418.8441 158.5809
58 2.0615  -334.5710 -878416.0501 161.3748
59 2.0815  -334.5699 -878413.3671 164.0579
60 2.1015  -334.5690 -878410.7882 166.6368
61 2.1215  -334.5680 -878408.3068 169.1182
62 2.1416  -334.5671 -878405.9177 171.5072
63 2.1616  -334.5662 -878403.6145 173.8105
64 2.1816  -334.5654 -878401.3921 176.0328
65 2.2016  -334.5646 -878399.2460 178.1790
66 2.2217  -334.5638 -878397.1696 180.2553
67 2.2417  -334.5630 -878395.1642 182.2608
68 2.2617  -334.5623 -878393.2191 184.2058
69 2.2817  -334.5615 -878391.3371 186.0879
70 2.3018  -334.5608 -878389.5094 187.9156
71 2.3218  -334.5602 -878387.7379 189.6871
72 2.3418  -334.5595 -878386.0157 191.4092
73 2.3618  -334.5589 -878384.3447 193.0802
74 2.3819  -334.5583 -878382.7187 194.7063
75 2.4019  -334.5577 -878381.1374 196.2876
76 2.4219  -334.5571 -878379.6025 197.8224
77 2.4419  -334.5565 -878378.1063 199.3186
78 2.4620  -334.5560 -878376.6499 200.7750
79 2.4820  -334.5554 -878375.2325 202.1925
80 2.5020  -334.5549 -878373.8528 203.5722
81 2.5220  -334.5544 -878372.5097 204.9153
82 2.5421  -334.5539 -878371.2021 206.2229
83 2.5621  -334.5534 -878369.9270 207.4979
84 2.5821  -334.5529 -878368.6834 208.7416
85 2.6021  -334.5525 -878367.4728 209.9522
86 2.6222  -334.5520 -878366.2950 211.1299
87 2.6422  -334.5516 -878365.1688 212.2561
88 2.6622  -334.5512 -878364.0552 213.3698
89 2.6822  -334.5507 -878362.9682 214.4567
90 2.7023  -334.5503 -878361.9098 215.5151
91 2.7223  -334.5499 -878360.8800 216.5449
92 2.7423  -334.5496 -878359.8786 217.5463
93 2.7623  -334.5492 -878358.9050 218.5199
94 2.7824  -334.5488 -878357.9855 219.4395
95 2.8024  -334.5485 -878357.0682 220.3568
96 2.8224  -334.5482 -878356.1792 221.2457
97 2.8424  -334.5478 -878355.3108 222.1142
98 2.8625  -334.5475 -878354.4733 222.9516
99 2.8825  -334.5472 -878353.6540 223.7710
100 2.9025  -334.5469 -878352.8647 224.5603
101 2.9225  -334.5466 -878352.0923 225.3326
102 2.9426  -334.5463 -878351.3490 226.0759
103 2.9626  -334.5460 -878350.6215 226.8035
104 2.9826  -334.5458 -878349.9219 227.5031
105 3.0026  -334.5455 -878349.2369 228.1881
106 3.0227  -334.5453 -878348.5789 228.8461
107 3.0427  -334.5450 -878347.9344 229.4906
108 3.0627  -334.5448 -878347.3160 230.1090
109 3.0827  -334.5445 -878346.7101 230.7149
110 3.1028  -334.5443 -878346.1294 231.2956
111 3.1228  -334.5441 -878345.5602 231.8648
112 3.1428  -334.5439 -878345.0154 232.4096
113 3.1628  -334.5437 -878344.4811 232.9438
114 3.1829  -334.5435 -878343.9703 233.4546
115 3.2029  -334.5433 -878343.4693 233.9556
116 3.2229  -334.5431 -878342.9910 234.4340
117 3.2429  -334.5430 -878342.5209 234.9040
118 3.2630  -334.5428 -878342.0727 235.3523
119 3.2830  -334.5426 -878341.6317 235.7933
120 3.3030  -334.5425 -878341.2115 236.2135
121 3.3230  -334.5423 -878340.7976 236.6274
122 3.3431  -334.5421 -878340.4035 237.0215
123 3.3631  -334.5420 -878340.0148 237.4102
124 3.3831  -334.5419 -878339.6451 237.7799
125 3.4031  -334.5417 -878339.2801 238.1449
126 3.4232  -334.5416 -878338.9333 238.4916
127 3.4432  -334.5415 -878338.5906 238.8344
128 3.4632  -334.5413 -878338.2655 239.1595
129 3.4832  -334.5412 -878337.9438 239.4812
130 3.5033  -334.5411 -878337.6391 239.7859
131 3.5233  -334.5410 -878337.3371 240.0878
132 3.5433  -334.5409 -878337.0516 240.3734
133 3.5633  -334.5408 -878336.7682 240.6568
134 3.5834  -334.5407 -878336.5005 240.9245
