0 0.9000  -340.1623 -893096.1381 1273.3820
1 0.9200  -340.2278 -893267.9879 1101.5322
2 0.9401  -340.2856 -893419.8643 949.6559
3 0.9601  -340.3367 -893553.8805 815.6396
4 0.9801  -340.3816 -893671.9374 697.5828
5 1.0001  -340.4212 -893775.7336 593.7865
6 1.0202  -340.4558 -893866.7872 502.7329
7 1.0402  -340.4862 -893946.4471 423.0730
8 1.0602  -340.5126 -894015.9190 353.6011
9 1.0802  -340.5356 -894076.2823 293.2378
10 1.1003  -340.5555 -894128.5091 241.0110
11 1.1203  -340.5726 -894173.4774 196.0428
12 1.1403  -340.5873 -894211.9799 157.5403
13 1.1603  -340.5998 -894244.7298 124.7903
14 1.1804  -340.6103 -894272.3667 97.1534
15 1.2004  -340.6191 -894295.4630 74.0571
16 1.2204  -340.6264 -894314.5326 54.9876
17 1.2404  -340.6323 -894330.0386 39.4815
18 1.2605  -340.6370 -894342.4006 27.1196
19 1.2805  -340.6406 -894351.9990 17.5211
20 1.3005  -340.6434 -894359.1792 10.3409
21 1.3205  -340.6453 -894364.2540 5.2661
22 1.3406  -340.6465 -894367.5049 2.0152
23 1.3606  -340.6472 -894369.1849 0.3353
24 1.3806  -340.6473 -894369.5201 0.0000
25 1.4006  -340.6470 -894368.7136 0.8065
26 1.4207  -340.6463 -894366.9476 2.5725
27 1.4407  -340.6454 -894364.3859 5.1342
28 1.4607  -340.6441 -894361.1755 8.3447
29 1.4807  -340.6427 -894357.4482 12.0719
30 1.5008  -340.6411 -894353.3215 16.1986
31 1.5208  -340.6395 -894348.8993 20.6208
32 1.5408  -340.6377 -894344.2726 25.2475
33 1.5608  -340.6359 -894339.5199 30.0002
34 1.5809  -340.6341 -894334.7084 34.8117
35 1.6009  -340.6322 -894329.8952 39.6249
36 1.6209  -340.6304 -894325.1278 44.3923
37 1.6409  -340.6286 -894320.4455 49.0746
38 1.6610  -340.6269 -894315.8802 53.6399
39 1.6810  -340.6252 -894311.4572 58.0629
40 1.7010  -340.6236 -894307.1964 62.3238
41 1.7210  -340.6220 -894303.1121 66.4081
42 1.7411  -340.6205 -894299.2144 70.3058
43 1.7611  -340.6191 -894295.5092 74.0110
44 1.7811  -340.6178 -894291.9988 77.5213
45 1.8011  -340.6165 -894288.6827 80.8375
46 1.8212  -340.6153 -894285.5575 83.9626
47 1.8412  -340.6142 -894282.6182 86.9019
48 1.8612  -340.6132 -894279.8580 89.6621
49 1.8812  -340.6122 -894277.2692 92.2510
50 1.9013  -340.6113 -894274.8434 94.6767
51 1.9213  -340.6104 -894272.5722 96.9479
52 1.9413  -340.6096 -894270.4468 99.0734
53 1.9613  -340.6088 -894268.4585 101.0617
54 1.9814  -340.6081 -894266.5987 102.9214
55 2.0014  -340.6074 -894264.8589 104.6613
56 2.0214  -340.6068 -894263.2306 106.2896
57 2.0414  -340.6062 -894261.7054 107.8147
58 2.0615  -340.6057 -894260.2752 109.2450
59 2.0815  -340.6052 -894258.9318 110.5883
60 2.1015  -340.6047 -894257.6677 111.8524
61 2.1215  -340.6043 -894256.4755 113.0446
62 2.1416  -340.6038 -894255.3486 114.1715
63 2.1616  -340.6034 -894254.2808 115.2393
64 2.1816  -340.6030 -894253.2665 116.2536
65 2.2016  -340.6027 -894252.3008 117.2193
66 2.2217  -340.6023 -894251.3792 118.1409
67 2.2417  -340.6020 -894250.4976 119.0225
