0 0.9000  -148.5611 -390047.1437 1414.3337
1 0.9200  -148.6291 -390225.7825 1235.6949
2 0.9401  -148.6896 -390384.4379 1077.0395
3 0.9601  -148.7432 -390525.1918 936.2856
4 0.9801  -148.7907 -390649.9147 811.5627
5 1.0001  -148.8327 -390760.2844 701.1930
6 1.0202  -148.8699 -390857.8020 603.6754
7 1.0402  -148.9026 -390943.8089 517.6685
8 1.0602  -148.9314 -391019.5054 441.9720
9 1.0802  -148.9568 -391085.9693 375.5081
10 1.1003  -148.9789 -391144.1709 317.3065
11 1.1203  -148.9983 -391194.9866 266.4908
12 1.1403  -149.0151 -391239.2077 222.2697
13 1.1603  -149.0297 -391277.5477 183.9297
14 1.1804  -149.0423 -391310.6468 150.8306
15 1.2004  -149.0532 -391339.0784 122.3990
16 1.2204  -149.0624 -391363.3563 98.1211
17 1.2404  -149.0703 -391383.9424 77.5350
18 1.2605  -149.0768 -391401.2537 60.2237
19 1.2805  -149.0823 -391415.6676 45.8098
20 1.3005  -149.0869 -391427.5263 33.9511
21 1.3205  -149.0905 -391437.1389 24.3385
22 1.3406  -149.0934 -391444.7835 16.6939
23 1.3606  -149.0957 -391450.7083 10.7691
24 1.3806  -149.0974 -391455.1345 6.3429
25 1.4006  -149.0986 -391458.2585 3.2189
26 1.4207  -149.0993 -391460.2554 1.2220
27 1.4407  -149.0997 -391461.2818 0.1956
28 1.4607  -149.0998 -391461.4774 0.0000
29 1.4807  -149.0996 -391460.9670 0.5104
30 1.5008  -149.0992 -391459.8616 1.6158
31 1.5208  -149.0986 -391458.2590 3.2184
32 1.5408  -149.0978 -391456.2448 5.2326
33 1.5608  -149.0969 -391453.8928 7.5846
34 1.5809  -149.0959 -391451.2662 10.2112
35 1.6009  -149.0948 -391448.4192 13.0582
36 1.6209  -149.0937 -391445.3980 16.0794
37 1.6409  -149.0925 -391442.2419 19.2355
38 1.6610  -149.0912 -391438.9847 22.4927
39 1.6810  -149.0899 -391435.6550 25.8224
40 1.7010  -149.0887 -391432.2773 29.2001
41 1.7210  -149.0874 -391428.8723 32.6051
42 1.7411  -149.0861 -391425.4572 36.0202
43 1.7611  -149.0848 -391422.0458 39.4316
44 1.7811  -149.0835 -391418.6491 42.8283
45 1.8011  -149.0822 -391415.2760 46.2014
46 1.8212  -149.0809 -391411.9329 49.5445
