Name #1; dE(+N2) #2; dE(AE) #3; dE(ST) #4; dG(+N2) #5; dG(AE) #6; dG(ST) #7; LUMO(min) #8; LUMO(S) #9; HOMO(S) #10; LUMO(T) #11; HOMO(T) #12; LUMO(D) #13; HOMO(D) #14; State #15; C-N(S) #16; N-N(S) #17; C-N(T) #18; N-N(T) #19; C-N(D) #20; N-N(D) #21; C-N(min) #22; N-N(min) #23; AE(S) #24; AE(T) #25; AE(S) N2 #26; AE(T) N2 #27; C-N-N(S) #28; C-N-N(T) #29; RSD(S) #30; RSD(T) #31; LUMO_N2(S) #32; HOMO_N2(S) #33; LUMO_N2(T) #34; HOMO_N2(T) #35; LUMO_N2(D) #36; HOMO_N2(D) #37;  dE(+N2) (D) #38;
"Pyrrole-2"; -164.23000; -783.45000; -59.24000; -103.72000; -783.74000; -58.71000; -0.37792; -0.37606; -0.48955; -0.37792; -0.49689; -0.12007; -0.21892; 1; 1.33690; 1.12430; 1.39550; 1.20210; 1.40830; 1.19350; 1.39550; 1.20210; -842.45000; -783.74000; -662.06000; -818.79000; 178.35; 121.70; 0.5921; 0.0002; -0.29102; -0.45579; -0.38790; -0.42545; -0.06962; -0.20897; -36.30000;
"Pyrrole-3"; -198.93000; -794.98000; -55.33000; -136.85000; -792.93000; -57.37000; -0.38235; -0.36837; -0.47735; -0.38235; -0.49507; -0.10153; -0.22317; 1; 1.34940; 1.11790; 1.42090; 1.19290; 1.42790; 1.18890; 1.42090; 1.19290; -850.30000; -792.93000; -631.14000; -821.49000; 178.44; 121.85; 0.4555; 0.0006; -0.28258; -0.44399; -0.38809; -0.39865; -0.05789; -0.19678; -26.64000;
"Pyrazole-3"; -250.11000; -912.78000; 8.17000; -186.62000; -908.18000; 8.35000; -0.42944; -0.40980; -0.52033; -0.42944; -0.52982; -0.11188; -0.26702; 1; 1.36840; 1.11290; 1.39130; 1.19910; 1.43410; 1.18780; 1.39130; 1.19910; -908.18000; -916.53000; -679.66000; -920.92000; 178.77; 123.61; 0.0012; 0.0017; -0.30818; -0.48083; -0.42246; -0.42639; -0.07207; -0.20754; -8.70000;
"Pyrazole-4"; -246.44000; -890.89000; -22.42000; -184.73000; -886.99000; -23.38000; -0.41913; -0.39702; -0.51600; -0.41913; -0.53370; -0.12170; -0.25881; 1; 1.34930; 1.11710; 1.38810; 1.20770; 1.42480; 1.18910; 1.38810; 1.20770; -910.37000; -886.99000; -674.17000; -907.78000; 177.62; 121.49; 0.0041; 0.0002; -0.30079; -0.49291; -0.42135; -0.43651; -0.07224; -0.21198; -22.51000;
"Pyrazole-5"; -202.39000; -898.78000; -51.41000; -137.36000; -890.72000; -54.17000; -0.42426; -0.41082; -0.52885; -0.42426; -0.53605; -0.14142; -0.25978; 1; 1.34860; 1.11910; 1.39440; 1.20490; 1.41680; 1.19130; 1.39440; 1.20490; -944.90000; -890.72000; -721.30000; -914.96000; 179.61; 120.60; 0.4261; 0.0005; -0.32044; -0.49099; -0.42675; -0.44902; -0.09186; -0.22997; -19.75000;
"1,3,5-(CH3)3-Pyrazole-4"; -204.97000; -784.33000; -31.86000; -144.06000; -781.81000; -31.99000; -0.36109; -0.34236; -0.45990; -0.36109; -0.46693; -0.10617; -0.23413; 1; 1.33700; 1.12190; 1.43570; 1.18640; 1.41510; 1.19270; 1.43570; 1.18640; -813.79000; -781.81000; -618.02000; -826.80000; 177.66; 124.16; 0.2741; 0.0001; -0.26976; -0.44302; -0.37532; -0.36915; -0.05249; -0.19556; -32.49000;
"Imidazole-2"; -167.17000; -856.35000; -50.15000; -107.33000; -854.45000; -49.46000; -0.40670; -0.40292; -0.50868; -0.40670; -0.52153; -0.12927; -0.24537; 1; 1.35160; 1.12000; 1.39750; 1.20340; 1.41660; 1.19090; 1.39750; 1.20340; -903.91000; -854.45000; -709.57000; -871.00000; 177.76; 121.11; 0.5496; 0.0003; -0.31296; -0.47219; -0.40666; -0.43065; -0.08781; -0.22705; -14.69000;
"Imidazole-4"; -203.90000; -846.49000; -39.22000; -142.69000; -843.53000; -40.95000; -0.40609; -0.40609; -0.49568; -0.40375; -0.50696; -0.10334; -0.24062; 0; 1.36190; 1.11510; 1.40830; 1.19630; 1.42920; 1.18790; 1.36190; 1.11510; -884.48000; -843.53000; -665.10000; -871.57000; 178.54; 121.44; 0.0023; 0.0012; -0.29936; -0.47559; -0.40720; -0.42099; -0.06823; -0.20545; -14.72000;
"Imidazole-5"; -179.01000; -846.80000; -65.62000; -118.29000; -843.74000; -64.46000; -0.40348; -0.38965; -0.50435; -0.40348; -0.52116; -0.13660; -0.24101; 1; 1.33870; 1.12250; 1.39470; 1.20380; 1.41060; 1.19230; 1.39470; 1.20380; -908.20000; -843.74000; -699.70000; -872.44000; 176.62; 120.95; 0.0298; 0.0007; -0.30835; -0.48452; -0.40850; -0.44020; -0.08200; -0.21997; -25.85000;
"1H-1,2,3-Triazole-4"; -256.57000; -952.94000; -18.80000; -191.78000; -945.01000; -23.65000; -0.44308; -0.42996; -0.54430; -0.44308; -0.55362; -0.13235; -0.27937; 1; 1.35880; 1.11430; 1.38410; 1.20800; 1.42570; 1.18790; 1.38410; 1.20800; -968.65000; -945.01000; -717.17000; -956.28000; 177.16; 120.80; 0.0003; 0.0010; -0.32138; -0.50920; -0.43921; -0.45087; -0.08518; -0.22433; -14.47000;
"1H-1,2,3-Triazole-5"; -77.73000; -819.33000; -188.05000; 4.70000; -792.92000; -209.49000; -0.43198; -0.43198; -0.55221; -0.40142; -0.43966; -0.16460; -0.28058; 0; 1.34720; 1.11860; 1.39310; 1.19410; 1.41670; 1.19050; 1.34720; 1.11860; -1002.41000; -792.92000; -761.88000; -965.25000; 177.73; 125.71; 0.0004; 0.0000; -0.34035; -0.50329; -0.44058; -0.46206; -0.10410; -0.24223; -15.18000;
"1H-1,2,4-Triazole-3"; -254.35000; -960.45000; 13.47000; -194.67000; -958.43000; 10.65000; -0.45118; -0.42594; -0.56259; -0.45118; -0.55252; -0.12409; -0.29041; 1; 1.38250; 1.11010; 1.38580; 1.19550; 1.43550; 1.18670; 1.38580; 1.19550; -958.43000; -969.08000; -721.20000; -969.37000; 178.60; 125.71; 0.0002; 0.0013; -0.32856; -0.51609; -0.44039; -0.44332; -0.08490; -0.21890; -6.53000;
"1H-1,2,4-Triazole-5"; -213.99000; -973.84000; -35.80000; -153.40000; -969.10000; -33.09000; -0.45094; -0.44085; -0.55832; -0.45094; -0.56518; -0.15369; -0.29042; 1; 1.36540; 1.11510; 1.39260; 1.20630; 1.42520; 1.18870; 1.39260; 1.20630; -1002.20000; -969.10000; -769.49000; -971.29000; 178.88; 120.67; 0.2600; 0.0004; -0.34442; -0.51371; -0.44648; -0.45667; -0.10808; -0.24499; -4.68000;
"2H-1,2,3-Triazole-4"; -280.14000; -987.79000; 1.45000; -216.71000; -981.99000; -2.20000; -0.46146; -0.43411; -0.56811; -0.46146; -0.56772; -0.13560; -0.28998; 1; 1.36510; 1.11300; 1.32560; 1.13930; 1.42820; 1.18840; 1.32560; 1.13930; -984.19000; -981.99000; -725.09000; -1039.09000; 177.72; 178.28; 0.0001; 0.0006; -0.32794; -0.52819; -0.42938; -0.41576; -0.08914; -0.22405; -10.08000;
"4H-1,2,4-Triazole-3"; -217.42000; -964.44000; -10.57000; -153.30000; -957.51000; -13.90000; -0.44567; -0.41501; -0.56610; -0.44567; -0.53002; -0.15405; -0.28815; 1; 1.35510; 1.11730; 1.38410; 1.20620; 1.42200; 1.19000; 1.38410; 1.20620; -971.41000; -957.51000; -759.17000; -957.31000; 175.34; 121.30; 0.0004; 0.0002; -0.33780; -0.49180; -0.43945; -0.45516; -0.09924; -0.23540; -6.34000;
"Tetrazole-5"; 22.83000; -790.05000; 282.00000; 85.87000; -782.89000; 280.14000; -0.47598; -0.36571; -0.55397; -0.47598; -0.57268; -0.18337; -0.32353; 1; 1.36420; 1.11390; 1.37670; 1.21290; 1.42460; 1.18910; 1.37670; 1.21290; -782.89000; -1063.03000; -820.97000; -1053.06000; 176.61; 120.72; 0.0000; 0.0012; -0.36893; -0.53141; -0.47302; -0.48222; -0.12052; -0.25696; -2.85000;
"Furan-2"; -184.15000; -848.21000; -67.52000; -123.40000; -846.11000; -67.17000; -0.40590; -0.40165; -0.51432; -0.40590; -0.52619; -0.13055; -0.24013; 1; 1.34280; 1.12090; 1.38080; 1.20700; 1.40510; 1.19300; 1.38080; 1.20700; -913.28000; -846.11000; -697.50000; -869.92000; 179.08; 122.67; 0.5993; 0.0019; -0.31250; -0.47682; -0.40929; -0.43560; -0.08632; -0.21935; -27.02000;
"Furan-3"; -201.39000; -859.57000; -68.46000; -140.11000; -856.05000; -69.73000; -0.41018; -0.40452; -0.50361; -0.41018; -0.52402; -0.12341; -0.24440; 1; 1.35560; 1.11570; 1.41550; 1.19030; 1.43180; 1.18810; 1.41550; 1.19030; -925.79000; -856.05000; -682.32000; -878.81000; 178.66; 123.84; 0.4382; 0.0003; -0.30826; -0.46644; -0.41016; -0.41883; -0.07756; -0.21360; -16.08000;
