Reaction; dE; dG; LUMO(S); LUMO(T); Ring Deviation (S); Ring Deviation (T);
"CH3+(S) = CH3+(T)"; 339.69; 319.18; -0.486590; -0.544280; 0.0000; 0.0000;
"C2H5+(S) = C2H5+(T)"; 353.31; 322.99; -0.324030; -0.496720; 0.0000; 0.0000;
"1-CH3-C2H4+(S) = 1-CH3-C2H4+(T)"; 369.06; 344.18; -0.347960; -0.466640; 0.0000; 0.0000;
"1,1-(CH3)2-C2H3+(S) = 1,1-(CH3)2-C2H3+(T)"; 380.03; 366.22; -0.321560; -0.428030; 0.0000; 0.0000;
"Pyridine-2+(S) = Pyridine-2+(T)"; 171.29; 161.87; -0.343690; -0.430750; 0.0005; 0.0012;
"Pyridine-3+(S) = Pyridine-3+(T)"; 102.55; 98.03; -0.341510; -0.416460; 0.0011; 0.2607;
"Pyridine-4+(S) = Pyridine-4+(T)"; 86.19; 86.91; -0.368060; -0.411220; 0.0005; 0.0002;
"Pyrazine-2+(S) = Pyrazine-2+(T)"; 174.54; 166.91; -0.355910; -0.435720; 0.0007; 0.2523;
"Pyrimidine-2+(S) = Pyrimidine-2+(T)"; 134.83; 130.87; -0.342040; -0.413720; 0.0003; 0.0019;
"Pyrimidine-4+(S) = Pyrimidine-4+(T)"; 177.22; 172.47; -0.360100; -0.434950; 0.0026; 0.0000;
"Pyrimidine-5+(S) = Pyrimidine-5+(T)"; 34.72; 37.11; -0.381390; -0.413310; 0.0004; 0.0002;
"1,2,3-Triazine-4+(S) = 1,2,3-Triazine-4+(T)"; 304.54; 311.86; -0.365020; -0.422920; 0.0000; 0.0000;
"1,2,3-Triazine-5+(S) = 1,2,3-Triazine-5+(T)"; 99.74; 91.46; -0.393150; -0.439120; 0.0029; 0.0001;
"1,2,4-Triazine-3+(S) = 1,2,4-Triazine-3+(T)"; 58.25; 59.07; -0.368740; -0.414170; 0.0001; 0.0009;
"1,2,4-Triazine-5+(S) = 1,2,4-Triazine-5+(T)"; 151.86; 147.82; -0.369260; -0.440980; 0.0003; 0.0012;
"1,2,4-Triazine-6+(S) = 1,2,4-Triazine-6+(T)"; 66.21; 64.13; -0.389840; -0.420710; 0.0015; 0.0016;
"1,3,5-Triazine-2+(S) = 1,3,5-Triazine-2+(T)"; 160.62; 156.47; -0.365090; -0.440040; 0.0001; 0.0003;
"N-O-Pyridine-2+(S) = N-O-Pyridine-2+(T)"; -91.84; -89.42; -0.387160; -0.385440; 0.4951; 0.0012;
"N-O-Pyridine-3+(S) = N-O-Pyridine-3+(T)"; -49.84; -47.15; -0.377790; -0.388810; 0.2439; 0.0009;
"N-O-Pyridine-4+(S) = N-O-Pyridine-4+(T)"; -78.67; -75.51; -0.382040; -0.381640; 0.4161; 0.0000;
"Ph+(S) = Ph+(T)"; 79.70; 79.37; -0.353450; -0.410940; 0.0000; 0.0000;
"4-NO2-Ph+(S) = 4-NO2-Ph+(T)"; 68.20; 63.99; -0.375810; -0.422680; 0.0002; 0.0037;
"4-CH3O-Ph+(S) = 4-CH3O-Ph+(T)"; -15.95; -11.25; -0.341610; -0.361220; 0.2471; 0.0000;
"Pyrrole-2+(S) = Pyrrole-2+(T)"; -59.24; -58.71; -0.376060; -0.377920; 0.5921; 0.0002;
"Pyrrole-3+(S) = Pyrrole-3+(T)"; -55.33; -57.37; -0.368370; -0.382350; 0.4555; 0.0006;
"Pyrazole-3+(S) = Pyrazole-3+(T)"; 8.17; 8.35; -0.409800; -0.429440; 0.0012; 0.0017;
"Pyrazole-4+(S) = Pyrazole-4+(T)"; -22.42; -23.38; -0.397020; -0.419130; 0.0041; 0.0002;
"Pyrazole-5+(S) = Pyrazole-5+(T)"; -51.41; -54.17; -0.410820; -0.424260; 0.4261; 0.0005;
"1,3,5-(CH3)3-Pyrazole-4+(S) = 1,3,5-(CH3)3-Pyrazole-4+(T)"; -31.86; -31.99; -0.342360; -0.361090; 0.2741; 0.0001;
"C13H18N6+(S) = C13H18N6+(T)"; 0.00; 0.00; 0.000000; 0.000000; 0.0000; 0.0000;
"C13H18N4+(S) = C13H18N4+(T)"; 0.00; 0.00; 0.000000; 0.000000; 0.0000; 0.0000;
"Imidazole-2+(S) = Imidazole-2+(T)"; -50.15; -49.46; -0.402920; -0.406700; 0.5496; 0.0003;
"Imidazole-4+(S) = Imidazole-4+(T)"; -39.22; -40.95; -0.406090; -0.403750; 0.0023; 0.0012;
"Imidazole-5+(S) = Imidazole-5+(T)"; -65.62; -64.46; -0.389650; -0.403480; 0.0298; 0.0007;
"1H-1,2,3-Triazole-4+(S) = 1H-1,2,3-Triazole-4+(T)"; -18.80; -23.65; -0.429960; -0.443080; 0.0003; 0.0010;
"1H-1,2,3-Triazole-5+(S) = 1H-1,2,3-Triazole-5+(T)"; -188.05; -209.49; -0.431980; -0.401420; 0.0004; 0.0000;
"1H-1,2,4-Triazole-3+(S) = 1H-1,2,4-Triazole-3+(T)"; 13.47; 10.65; -0.425940; -0.451180; 0.0002; 0.0013;
"1H-1,2,4-Triazole-5+(S) = 1H-1,2,4-Triazole-5+(T)"; -35.80; -33.09; -0.440850; -0.450940; 0.2600; 0.0004;
"2H-1,2,3-Triazole-4+(S) = 2H-1,2,3-Triazole-4+(T)"; 1.45; -2.20; -0.434110; -0.461460; 0.0001; 0.0006;
