"Reaction "; dE; dG 298.15; dH 298.15; dS*298.15; 
"N2-USinglet = N2-UTriplet"; 674.02; 667.11; 670.30; 3.19; 
"CH3+-USinglet = CH3+-UTriplet"; 339.69; 319.18; 322.47; 3.29; 
"CH3-N2+-USinglet = CH3-N2+-UTriplet"; 475.77; 453.78; 458.66; 4.88; 
"C2H5+-USinglet = C2H5+-UTriplet"; 353.31; 322.99; 329.64; 6.66; 
"C2H5-N2+-USinglet = C2H5-N2+-UTriplet"; 438.59; 408.62; 414.85; 6.23; 
"1-CH3-C2H4+-USinglet = 1-CH3-C2H4+-UTriplet"; 369.06; 344.18; 350.38; 6.21; 
"1-CH3-C2H4-N2+-USinglet = 1-CH3-C2H4-N2+-UTriplet"; 406.37; 384.37; 391.97; 7.60; 
"1,1-(CH3)2-C2H3+-USinglet = 1,1-(CH3)2-C2H3+-UTriplet"; 380.03; 366.22; 369.22; 2.99; 
"1,1-(CH3)2-C2H3-N2+-USinglet = 1,1-(CH3)2-C2H3-N2+-UTriplet"; 452.46; 468.05; 448.49; -19.58; 
"Pyridine-2+-USinglet = Pyridine-2+-UTriplet"; 171.29; 161.87; 167.09; 5.23; 
"Pyridine-2-N2+-USinglet = Pyridine-2-N2+-UTriplet"; 253.68; 236.77; 244.86; 8.10; 
"Pyridine-3+-USinglet = Pyridine-3+-UTriplet"; 102.55; 98.03; 101.40; 3.37; 
"Pyridine-3-N2+-USinglet = Pyridine-3-N2+-UTriplet"; 235.64; 220.73; 226.62; 5.89; 
"Pyridine-4+-USinglet = Pyridine-4+-UTriplet"; 86.19; 86.91; 89.08; 2.16; 
"Pyridine-4-N2+-USinglet = Pyridine-4-N2+-UTriplet"; 198.71; 186.29; 191.64; 5.35; 
"Pyrazine-2+-USinglet = Pyrazine-2+-UTriplet"; 174.54; 166.91; 170.88; 3.97; 
"Pyrazine-2-N2+-USinglet = Pyrazine-2-N2+-UTriplet"; 217.44; 202.88; 208.40; 5.52; 
"Pyrimidine-2+-USinglet = Pyrimidine-2+-UTriplet"; 134.83; 130.87; 133.64; 2.77; 
"Pyrimidine-2-N2+-USinglet = Pyrimidine-2-N2+-UTriplet"; 227.72; 215.34; 220.90; 5.57; 
"Pyrimidine-4+-USinglet = Pyrimidine-4+-UTriplet"; 177.22; 172.47; 176.06; 3.59; 
"Pyrimidine-4-N2+-USinglet = Pyrimidine-4-N2+-UTriplet"; 189.93; 181.12; 185.06; 3.94; 
"Pyrimidine-5+-USinglet = Pyrimidine-5+-UTriplet"; 34.72; 37.11; 35.54; -1.57; 
"Pyrimidine-5-N2+-USinglet = Pyrimidine-5-N2+-UTriplet"; 208.07; 195.33; 199.87; 4.55; 
"1,2,3-Triazine-4+-USinglet = 1,2,3-Triazine-4+-UTriplet"; 304.54; 311.86; 304.86; -7.01; 
"1,2,3-Triazine-4-N2+-USinglet = 1,2,3-Triazine-4-N2+-UTriplet"; 118.03; 114.82; 117.61; 2.79; 
"1,2,3-Triazine-5+-USinglet = 1,2,3-Triazine-5+-UTriplet"; 99.74; 91.46; 96.25; 4.78; 
"1,2,3-Triazine-5-N2+-USinglet = 1,2,3-Triazine-5-N2+-UTriplet"; 110.01; 106.43; 108.76; 2.33; 
"1,2,4-Triazine-3+-USinglet = 1,2,4-Triazine-3+-UTriplet"; 58.25; 59.07; 61.16; 2.09; 
